Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Netflix inc,NFLX,"",702070.0,257884000.0,2.61366,4.6533,12,-411954.0,-36.978916,reduction,0.1608039,Q1 2016,COMMUNICATIONS,13F,06/30/2019,349.7207
Advance auto parts  inc.,AAP,"",1604690.0,247347000.0,2.50687,2.1581,13,524419.0,48.545134,addition,2.2389982,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,165.1737
Salesforce.com inc.,CRM,CALL,1610000.0,244285000.0,2.47584,,14,1610000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
First data corp,FDC,"",6686228.0,180996000.0,1.8344,3.9478,15,-6141944.0,-47.87856,reduction,0.7084970,Q3 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,20.11
Anaplan inc,PLAN,"",3476839.0,175476000.0,1.77846,,16,3476839.0,,new,2.7500111,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,50.47
Salesforce.com inc.,CRM,"",1136659.0,172465000.0,1.74794,1.9787,17,70116.0,6.574137,addition,0.1474706,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,157.9604
Costar group inc,CSGP,"",310000.0,171759000.0,1.74078,0.9562,18,135000.0,77.142857,addition,0.8504801,Q1 2019,INDUSTRIALS,13F,06/30/2019,504.5858
Visa inc,V,"",936076.0,162456000.0,1.6465,1.4638,19,136076.0,17.0095,addition,0.0466317,Q4 2014,FINANCE,13F,06/30/2019,121.2299
Iqvia holdings inc,IQV,"",1000000.0,160900000.0,1.63073,3.1857,20,-890465.0,-47.102961,reduction,0.5069966,Q3 2018,HEALTH CARE,13F,06/30/2019,120.9613
Alibaba group holding ltd adr,BABA,CALL,940000.0,159283000.0,1.61434,,21,940000.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
Lululemon athletica inc.,LULU,"",775000.0,139663000.0,1.41549,1.5358,22,-25000.0,-3.125,reduction,0.5918289,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,163.87
Chewy inc,CHWY,"",4050000.0,138348000.0,1.40216,,23,350000.0,9.459459,addition,No Data,, ,13G,07/29/2019,
Laboratory corp of america holdings,LH,"",775000.0,133998000.0,1.35807,,24,775000.0,,new,0.7853668,Q2 2019,HEALTH CARE,13F,06/30/2019,172.9
Restaurant brands international inc,QSR,"",1800000.0,125172000.0,1.26862,2.7294,25,-1778393.0,-49.698091,reduction,0.7033723,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,57.5992
Estee lauder companies inc.,EL,"",675000.0,123599000.0,1.25268,,26,675000.0,,new,0.1868978,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,183.11
Las vegas sands corp,LVS,CALL,2010000.0,118771000.0,1.20375,1.4577,27,-31200.0,-1.528513,reduction,N/A,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Laureate education inc  class a,LAUR,"",7350000.0,115469000.0,1.17028,1.1618,28,725000.0,10.943396,addition,3.2719017,Q1 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,14.6438
Take-two interactive software  inc.,TTWO,"",1000000.0,113530000.0,1.15063,,29,1000000.0,,new,0.8837045,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,113.53
Dominos pizza inc,DPZ,"",375000.0,104355000.0,1.05764,0.8315,30,100000.0,36.363636,addition,0.9132976,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,260.258
Hasbro inc.,HAS,PUT,950000.0,100396000.0,1.01752,,31,950000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Puma se adr (deu),PUMSY,"",1470000.0,98018000.0,0.993416,,32,1470000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Veeva systems inc,VEEV,"",600000.0,97266000.0,0.985795,,33,600000.0,,new,0.4097521,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,162.11
Gartner  inc.,IT,"",550000.0,88517000.0,0.897123,0.9773,34,0.0,0.0,,0.6130866,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,149.0662
Workday inc,WDAY,"",425000.0,87372000.0,0.885519,,35,425000.0,,new,0.1914414,Q2 2018,COMMUNICATIONS,13F,06/30/2019,205.58
Facebook inc,FB,"",450000.0,86850000.0,0.880228,0.9764,36,-50000.0,-10.0,reduction,0.0157646,Q1 2019,COMMUNICATIONS,13F,06/30/2019,166.69
New oriental education & tech group inc adr,EDU,"",850000.0,82093000.0,0.832016,1.372,37,-450000.0,-34.615385,reduction,0.5961565,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,89.3811
Carvana co,CVNA,"",1300000.0,81367000.0,0.824658,1.1903,38,-450000.0,-25.714286,reduction,0.8648792,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,40.5463
Papa johns international inc.,PZZA,PUT,1770000.0,79154000.0,0.802229,0.856,39,390000.0,28.26087,addition,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Oracle corp,ORCL,PUT,1350000.0,76910000.0,0.779486,,40,1350000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Fidelity national information services inc,FIS,"",601777.0,73826000.0,0.748229,,41,601777.0,,new,0.1863548,Q2 2019,FINANCE,13F,06/30/2019,122.68
Verisign inc.,VRSN,"",350000.0,73206000.0,0.741946,,42,350000.0,,new,0.2923488,Q2 2019,COMMUNICATIONS,13F,06/30/2019,209.16
Lennar corp. class a,LEN,"",1500000.0,72690000.0,0.736716,0.5751,43,500000.0,50.0,addition,0.4641520,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,48.88
Twitter inc,TWTR,"",2000000.0,69800000.0,0.707426,1.2326,44,-1200000.0,-37.5,reduction,0.2602032,Q1 2019,COMMUNICATIONS,13F,06/30/2019,32.88
Align technology inc,ALGN,"",250000.0,68425000.0,0.69349,0.4996,45,100000.0,66.666667,addition,0.3125391,Q4 2018,HEALTH CARE,13F,06/30/2019,235.138
Booking holdings inc. (priceline),BKNG,"",35000.0,65615000.0,0.665011,0.6132,46,5000.0,16.666667,addition,0.0713412,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,1763.4529
Advance auto parts  inc.,AAP,CALL,400000.0,61656000.0,0.624886,,47,400000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Etsy inc,ETSY,"",1000000.0,61370000.0,0.621987,,48,1000000.0,,new,0.8320852,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,61.37
Paypal holdings inc,PYPL,"",525000.0,60092000.0,0.609035,1.2165,49,-475000.0,-47.5,reduction,0.0446835,Q3 2017,COMMUNICATIONS,13F,06/30/2019,77.563
Kroger co.,KR,PUT,2710000.0,58834000.0,0.596285,,50,2710000.0,,new,N/A,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,
Mallinckrodt plc,MNK,PUT,5720000.0,52510000.0,0.532191,0.4177,51,4080000.0,248.780488,addition,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Luckin coffee inc,LK,"",2650000.0,51649000.0,0.523465,,52,2650000.0,,new,No Data,Q2 2019, ,13F,06/30/2019,19.49
World wrestling entertainment inc,WWE,"",700000.0,50547000.0,0.512296,0.2033,53,500000.0,250.0,addition,0.8969759,Q1 2019,COMMUNICATIONS,13F,06/30/2019,76.3729
Slack technologies inc,WORK,"",1300000.0,48750000.0,0.494083,,54,1300000.0,,new,0.6697924,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,37.5
Kohls corp.,KSS,PUT,950000.0,45173000.0,0.45783,0.7653,55,0.0,0.0,,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Tractor supply company,TSCO,PUT,410000.0,44608000.0,0.452104,0.1145,56,310000.0,310.0,addition,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Qurate retail group inc series a (formerly liberty interactive),QRTEA,PUT,3400000.0,42126000.0,0.426949,,57,3400000.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
Teva pharmaceutical industries ltd  adr,TEVA,PUT,4350000.0,40151000.0,0.406932,,58,4350000.0,,new,N/A,Q2 2019,HEALTH CARE,13F,06/30/2019,
Hertz global holdings inc,HTZ,"",2450000.0,39102000.0,0.3963,,59,2450000.0,,new,2.9118136,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,15.96
Wynn resorts ltd,WYNN,"",300000.0,37197000.0,0.376993,1.3629,60,-675000.0,-69.230769,reduction,0.2787068,Q1 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,134.7213
Thor industries  inc.,THO,PUT,600000.0,35070000.0,0.355436,,61,600000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Cooper companies (the),COO,"",100000.0,33689000.0,0.341439,0.9541,62,-175000.0,-63.636364,reduction,0.2025522,Q4 2018,HEALTH CARE,13F,06/30/2019,258.2882
Sysco corp.,SYY,"",400000.0,28288000.0,0.2867,,63,400000.0,,new,0.0779029,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,70.72
Armstrong world industries inc.,AWI,"",255000.0,24786000.0,0.251207,0.4652,64,-245000.0,-49.0,reduction,0.5257732,Q1 2019,INDUSTRIALS,13F,06/30/2019,79.42
Laureate education inc  class a,LAUR,CALL,1500000.0,23565000.0,0.238832,0.0877,65,1000000.0,200.0,addition,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Hyatt hotels corp,H,"",300000.0,22839000.0,0.231474,,66,300000.0,,new,0.2848191,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,76.13
Foot locker inc. (f. w. woolworth),FL,PUT,540000.0,22637000.0,0.229427,,67,540000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
World wrestling entertainment inc,WWE,CALL,300000.0,21663000.0,0.219555,,68,300000.0,,new,N/A,Q2 2019,COMMUNICATIONS,13F,06/30/2019,
National beverage corp,FIZZ,PUT,450000.0,20084000.0,0.203552,,69,450000.0,,new,N/A,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,
Gap (the),GPS,PUT,1100000.0,19767000.0,0.200339,0.414,70,-250000.0,-18.518519,reduction,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Iaa inc,IAA,"",500000.0,19390000.0,0.196518,,71,500000.0,,new,No Data,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,38.78
Lumber liquidators holdings inc,LL,PUT,1600000.0,18480000.0,0.187296,0.0473,72,1200000.0,300.0,addition,N/A,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Pagseguro digital ltd,PAGS,CALL,400000.0,15588000.0,0.157985,,73,400000.0,,new,N/A,Q2 2018,FINANCE,13F,06/30/2019,
Macerich company (the),MAC,PUT,410000.0,13731000.0,0.139164,,74,410000.0,,new,N/A,Q2 2019,REAL ESTATE,13F,06/30/2019,
Crowdstrike holdings inc,CRWD,"",200000.0,13658000.0,0.138424,,75,200000.0,,new,No Data,Q2 2019, ,13F,06/30/2019,68.29
Gamestop corp.  class a,GME,PUT,1800000.0,9846000.0,0.0997896,0.3868,76,-1450000.0,-44.615385,reduction,N/A,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,
Cal-maine foods inc,CALM,PUT,200000.0,8344000.0,0.0845668,,77,200000.0,,new,N/A,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,
Hertz global holdings inc,HTZ/R,"",2450000.0,4778000.0,0.0484252,,78,2450000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Signet jewelers ltd,SIG,PUT,200000.0,3576000.0,0.0362429,0.2227,79,-500000.0,-71.428571,reduction,N/A,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Tailored brands inc,TLRD,PUT,600000.0,3462000.0,0.0350875,,80,600000.0,,new,N/A,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Turtle beach corporation,HEAR,PUT,200000.0,2312000.0,0.0234322,0.0266,81,0.0,0.0,,N/A,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Cbl & associates properties  inc.,CBL,PUT,1000000.0,1040000.0,0.0105404,0.0182,82,0.0,0.0,,N/A,Q3 2017,REAL ESTATE,13F,06/30/2019,
Deere & co.,DE,"",0.0,0.0,0.0,2.086,83,-1114028.0,-100.0,soldall,0.0000000,Q2 2016,INDUSTRIALS,13F,06/30/2019,144.2296
Target corp.,TGT,PUT,0.0,0.0,0.0,1.0342,84,-1100000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Perrigo co plc,PRGO,PUT,0.0,0.0,0.0,0.1693,85,-300000.0,-100.0,soldall,N/A,Q2 2018,HEALTH CARE,13F,06/30/2019,
Intuit  inc.,INTU,"",0.0,0.0,0.0,0.9953,86,-325000.0,-100.0,soldall,0.0000000,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,261.41
Wynn resorts ltd,WYNN,CALL,0.0,0.0,0.0,0.1398,87,-100000.0,-100.0,soldall,N/A,Q3 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,
Electronic arts  inc.,EA,"",0.0,0.0,0.0,1.9292,88,-1620409.0,-100.0,soldall,0.0000000,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,113.0558
L brands inc,LB,"",0.0,0.0,0.0,0.2908,89,-900000.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,25.67
Fidelity national information services inc,FIS,CALL,0.0,0.0,0.0,1.8019,90,-1360000.0,-100.0,soldall,N/A,Q1 2019,FINANCE,13F,06/30/2019,
Darden restaurants inc,DRI,CALL,0.0,0.0,0.0,0.1423,91,-100000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Darden restaurants inc,DRI,"",0.0,0.0,0.0,0.9961,92,-700000.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,99.86
Eagle materials inc.,EXP,CALL,0.0,0.0,0.0,0.0494,93,-50000.0,-100.0,soldall,N/A,Q1 2018,MATERIALS,13F,06/30/2019,
Deckers outdoor corp,DECK,PUT,0.0,0.0,0.0,0.4649,94,-270000.0,-100.0,soldall,N/A,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Align technology inc,ALGN,CALL,0.0,0.0,0.0,0.4996,95,-150000.0,-100.0,soldall,N/A,Q1 2019,HEALTH CARE,13F,06/30/2019,
Alliance data systems corp,ADS,PUT,0.0,0.0,0.0,0.287,96,-140000.0,-100.0,soldall,N/A,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Nike inc.,NKE,"",0.0,0.0,0.0,0.8878,97,-900000.0,-100.0,soldall,0.0000000,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,74.14
Abercrombie & fitch co.,ANF,PUT,0.0,0.0,0.0,0.4817,98,-1500000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Adobe systems  inc.,ADBE,CALL,0.0,0.0,0.0,1.6858,99,-540000.0,-100.0,soldall,N/A,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Lennar corp. class a,LEN,CALL,0.0,0.0,0.0,0.1725,100,-300000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Nu skin enterprises inc. class a,NUS,PUT,0.0,0.0,0.0,0.4485,101,-800000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,
Royal caribbean cruises ltd,RCL,"",0.0,0.0,0.0,0.7721,102,-575000.0,-100.0,soldall,0.0000000,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,117.8925
New oriental education & tech group inc adr,EDU,CALL,0.0,0.0,0.0,0.2111,103,-200000.0,-100.0,soldall,N/A,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Iron mountain  inc.,IRM,PUT,0.0,0.0,0.0,0.2825,104,-680000.0,-100.0,soldall,N/A,Q2 2018,INDUSTRIALS,13F,06/30/2019,
Skechers usa  inc. class a,SKX,PUT,0.0,0.0,0.0,0.1969,105,-500000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
Cardtronics plc,CATM,PUT,0.0,0.0,0.0,0.2709,106,-650000.0,-100.0,soldall,N/A,Q2 2018,FINANCE,13F,06/30/2019,
Kar auction services inc,KAR,PUT,0.0,0.0,0.0,0.2464,107,-1083220.0,-100.0,soldall,N/A,Q4 2018,INDUSTRIALS,13F,06/30/2019,
Ascena retail group inc.,ASNA,PUT,0.0,0.0,0.0,0.0127,108,-1000000.0,-100.0,soldall,N/A,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Turtle beach corporation,HEAR,"",0.0,0.0,0.0,0.02,109,-150000.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,13.688
Aptiv plc,APTV,"",0.0,0.0,0.0,0.6518,110,-700000.0,-100.0,soldall,0.0000000,Q3 2018,INDUSTRIALS,13F,06/30/2019,79.44
Hd supply holdings inc,HDS,"",0.0,0.0,0.0,0.4571,111,-900000.0,-100.0,soldall,0.0000000,Q4 2016,INDUSTRIALS,13F,06/30/2019,39.0626
Twitter inc,TWTR,CALL,0.0,0.0,0.0,0.3081,112,-800000.0,-100.0,soldall,N/A,Q1 2019,COMMUNICATIONS,13F,06/30/2019,
Restaurant brands international inc,QSR,CALL,0.0,0.0,0.0,0.5339,113,-700000.0,-100.0,soldall,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Ferrari n.v.,RACE,CALL,0.0,0.0,0.0,0.4232,114,-270000.0,-100.0,soldall,N/A,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Canada goose holdings inc,GOOS,"",0.0,0.0,0.0,0.2672,115,-475000.0,-100.0,soldall,0.0000000,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,48.02
Carvana co,CVNA,CALL,0.0,0.0,0.0,0.4081,116,-600000.0,-100.0,soldall,N/A,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Spotify technology sa,SPOT,"",0.0,0.0,0.0,0.252,117,-155000.0,-100.0,soldall,0.0000000,Q3 2018,COMMUNICATIONS,13F,06/30/2019,180.83
Docusign inc,DOCU,"",0.0,0.0,0.0,0.7288,118,-1200000.0,-100.0,soldall,0.0000000,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,51.84
Yeti holdings inc,YETI,PUT,0.0,0.0,0.0,0.1063,119,-300000.0,-100.0,soldall,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,
