Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Everbridge inc,EVBG,"",503550.0,45027000.0,2.42402,4.3606,19,-366300.0,-42.110709,reduction,1.5291527,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,50.4856
So-young international inc,SY,"",3082991.0,42823000.0,2.30537,,20,3082991.0,,new,No Data,Q2 2019, ,13F,06/30/2019,13.89
Palo alto networks inc,PANW,"",146925.0,29937000.0,1.61165,3.3665,21,-60475.0,-29.158631,reduction,0.1567534,Q3 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,219.8928
Chewy inc,CHWY,"",800000.0,28000000.0,1.50738,,22,800000.0,,new,No Data,Q2 2019, ,13F,06/30/2019,35.0
Wayfair inc class a,W,"",185800.0,27127000.0,1.46038,0.8728,23,97825.0,111.196363,addition,0.2027499,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,109.1466
Spotify technology sa,SPOT,"",176436.0,25798000.0,1.38883,1.8093,24,-18615.0,-9.543658,reduction,0.0990601,Q2 2018,COMMUNICATIONS,13F,06/30/2019,168.3071
Salesforce.com inc.,CRM,"",150920.0,22899000.0,1.23276,1.9897,25,-37070.0,-19.719134,reduction,0.0195804,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,136.736
Fiverr intl ltd,FVRR,"",722089.0,21446000.0,1.15454,,26,722089.0,,new,No Data,Q2 2019, ,13F,06/30/2019,29.7
Realreal inc,REAL,"",350000.0,10115000.0,0.544539,,27,350000.0,,new,No Data,Q2 2019, ,13F,06/30/2019,28.9
Gridsum holding inc adr,GSUM,"",2945430.0,8188000.0,0.4408,0.5826,28,0.0,0.0,,11.2036135,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,7.1994
Crowdstrike holdings inc,CRWD,"",75000.0,5122000.0,0.275742,,29,75000.0,,new,No Data,Q2 2019, ,13F,06/30/2019,68.29
Amazon.com inc.,AMZN,CALL,0.0,0.0,0.0,17.4709,30,-146800.0,-100.0,soldall,N/A,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Gty technology holdings inc,GTYHW,"",0.0,0.0,0.0,0.0311,31,-772033.0,-100.0,soldall,N/A,Q4 2018, ,13F,06/30/2019,
Stitch fix inc,SFIX,"",0.0,0.0,0.0,0.7833,32,-415176.0,-100.0,soldall,0.0000000,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,18.9737
Mongodb inc,MDB,"",0.0,0.0,0.0,5.7873,33,-589000.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,91.8461
Stoneco ltd,STNE,"",0.0,0.0,0.0,1.8795,34,-684100.0,-100.0,soldall,0.0000000,Q4 2018,FINANCE,13F,06/30/2019,18.44
