Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",643213.0,88300000.0,1.335,0.9907,11,188587.0,41.481789,addition,0.1417987,Q1 2019,FINANCE,13F,06/30/2019,126.9465
Versum materials inc,VSM,"",1481693.0,76426000.0,1.1554,0.2911,12,1155956.0,354.874024,addition,1.3563649,Q1 2019,MATERIALS,13F,06/30/2019,51.3008
Allergan plc,AGN,"",430000.0,71995000.0,1.0885,,13,430000.0,,new,0.1292805,Q2 2019,HEALTH CARE,13F,06/30/2019,167.43
Wyndham hotels & resorts inc,WH,"",1266318.0,70585000.0,1.0671,1.1482,14,-26575.0,-2.055468,reduction,1.3015911,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,54.2532
Entergy corp.,ETR,"",626155.0,64450000.0,0.9744,1.0588,15,2901.0,0.46546,addition,0.3302854,Q2 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,87.3486
Synopsys inc.,SNPS,"",495847.0,63811000.0,0.9647,0.842,16,84248.0,20.468466,addition,0.3312714,Q4 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,105.6063
Facebook inc,FB,"",324558.0,62640000.0,0.947,0.9844,17,-7855.0,-2.363024,reduction,0.0113701,Q3 2014,COMMUNICATIONS,13F,06/30/2019,148.424
Hsbc holdings plc adr,HSBC,"",1487200.0,62076000.0,0.9385,,18,1487200.0,,new,0.0373145,Q2 2019,FINANCE,13F,06/30/2019,41.74
Cypress semiconductor corp,CY,"",2787646.0,61997000.0,0.9373,,19,2787646.0,,new,0.7645975,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,22.24
Healthcare trust of america inc,HTA,"",2122972.0,58233000.0,0.8804,0.8729,20,404370.0,23.529008,addition,1.0352717,Q4 2018,REAL ESTATE,13F,06/30/2019,25.7138
Total system services inc,TSS,"",450000.0,57722000.0,0.8727,,21,450000.0,,new,0.2536640,Q2 2019,FINANCE,13F,06/30/2019,128.27
T-mobile us inc,TMUS,"",775700.0,57510000.0,0.8695,,22,775700.0,,new,0.0912352,Q3 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,74.14
Intel corp.,INTC,"",1082993.0,51843000.0,0.7838,0.7409,23,306379.0,39.450615,addition,0.0231492,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,49.1117
Applied materials inc.,AMAT,"",1145990.0,51466000.0,0.7781,0.6601,24,209132.0,22.3227,addition,0.1207080,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,41.3224
Watsco inc.,WSO,"",311154.0,50883000.0,0.7693,,25,311154.0,,new,0.8290807,Q2 2019,INDUSTRIALS,13F,06/30/2019,163.53
Atmos energy corp,ATO,"",458137.0,48361000.0,0.7311,0.5945,26,133032.0,40.919703,addition,0.3919050,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,96.9943
Bunge ltd. adr,BG,"",863600.0,48111000.0,0.7274,1.3264,27,-543248.0,-38.614548,reduction,0.6119615,Q2 2012,CONSUMER STAPLES,13F,06/30/2019,67.8871
Check point software technologies ltd,CHKP,"",401414.0,46407000.0,0.7016,0.6335,28,119514.0,42.395885,addition,0.2456033,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,112.077
Altaba inc. (yahoo),AABA,"",664506.0,46097000.0,0.6969,1.1575,29,-214541.0,-24.40609,reduction,0.1102731,Q4 2014,FINANCE,13F,06/30/2019,48.3099
Dte energy co. (detroit edison),DTE,"",357180.0,45676000.0,0.6906,0.7438,30,21528.0,6.413786,addition,0.1949566,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,124.9293
Kbr inc,KBR,"",1785865.0,44539000.0,0.6734,0.2906,31,928853.0,108.38273,addition,1.2625415,Q2 2018,INDUSTRIALS,13F,06/30/2019,20.2563
Fifth third bancorp (1927) (cincinnati  oh),FITB,"",1590664.0,44380000.0,0.671,0.4942,32,487684.0,44.215126,addition,0.2452420,Q1 2019,FINANCE,13F,06/30/2019,26.0417
Array biopharma inc,ARRY,"",947234.0,43885000.0,0.6635,,33,947234.0,,new,0.4340928,Q2 2019,HEALTH CARE,13F,06/30/2019,46.33
Zimmer biomet holdings inc,ZBH,"",369389.0,43492000.0,0.6575,0.6168,34,97514.0,35.867218,addition,0.1805597,Q3 2018,HEALTH CARE,13F,06/30/2019,121.9314
Federal realty investment trust,FRT,"",334984.0,43133000.0,0.6521,0.3224,35,203357.0,154.494898,addition,0.4489800,Q2 2018,REAL ESTATE,13F,06/30/2019,126.6855
American electric power co. (american gas & electric),AEP,"",489999.0,43125000.0,0.652,0.5374,36,128794.0,35.65676,addition,0.0993409,Q3 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,74.9882
Voya financial inc,VOYA,"",738479.0,40838000.0,0.6174,0.3058,37,393948.0,114.343267,addition,0.5124056,Q1 2019,FINANCE,13F,06/30/2019,52.8087
Hcp inc.,HCP,"",1272373.0,40690000.0,0.6152,0.5005,38,372284.0,41.360799,addition,0.2663150,Q4 2017,REAL ESTATE,13F,06/30/2019,28.9352
Nextera energy inc.,NEE,"",196844.0,40325000.0,0.6097,0.6247,39,14950.0,8.219073,addition,0.0411661,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,194.1964
Alliant energy corp,LNT,"",799859.0,39257000.0,0.5935,0.6772,40,-8980.0,-1.110233,reduction,0.3388228,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,42.25
Palo alto networks inc,PANW,"",186934.0,38090000.0,0.5759,0.6381,41,39057.0,26.411815,addition,0.1994388,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,208.2255
Sba communications corp.,SBAC,"",168486.0,37882000.0,0.5727,0.6824,42,-23903.0,-12.424307,reduction,0.1496456,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,186.7955
Portland general electric co.,POR,"",695772.0,37690000.0,0.5698,,43,695772.0,,new,0.7787040,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,54.17
Dominion energy inc,D,"",485189.0,37515000.0,0.5672,0.2328,44,314277.0,183.882349,addition,0.0606941,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,75.2558
First american corp (the),FAF,"",688238.0,36958000.0,0.5588,0.4668,45,177988.0,34.882509,addition,0.6139500,Q3 2018,FINANCE,13F,06/30/2019,52.0935
Conocophillips (phillips petroleum),COP,"",599400.0,36563000.0,0.5528,0.0676,46,542400.0,951.578947,addition,0.0528385,Q2 2018,ENERGY,13F,06/30/2019,61.5348
Consolidated edison co. of new york inc. (consolidated gas co. of new york),ED,"",416078.0,36482000.0,0.5516,0.389,47,157863.0,61.136262,addition,0.1295870,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,85.8989
Cubesmart,CUBE,"",1082217.0,36189000.0,0.5471,0.5133,48,180394.0,20.00326,addition,0.5767210,Q2 2017,REAL ESTATE,13F,06/30/2019,27.2888
Science applications international corp,SAIC,"",410000.0,35490000.0,0.5366,0.2051,49,260000.0,173.333333,addition,0.6929187,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,83.0441
Microsoft corp.,MSFT,"",264238.0,35397000.0,0.5352,0.823,50,-128546.0,-32.726893,reduction,0.0034318,Q1 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,114.6962
Emcor group  inc.,EME,"",400000.0,35240000.0,0.5328,0.3392,51,138716.0,53.090124,addition,0.7142857,Q4 2018,INDUSTRIALS,13F,06/30/2019,69.5423
Firstenergy corp.,FE,"",822933.0,35230000.0,0.5326,0.6177,52,-12700.0,-1.519806,reduction,0.1548584,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,35.5445
Exelon corp. (philadelphia electric co.),EXC,"",723081.0,34665000.0,0.5241,0.5976,53,52065.0,7.759129,addition,0.0745483,Q3 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,44.2532
Walmart inc,WMT,"",312275.0,34503000.0,0.5216,0.2613,54,161475.0,107.078912,addition,0.0105414,Q3 2018,CONSUMER STAPLES,13F,06/30/2019,104.2315
Exxonmobil corp. (standard oil of new jersey),XOM,"",447700.0,34307000.0,0.5187,,55,447700.0,,new,0.0105653,Q2 2019,ENERGY,13F,06/30/2019,76.63
Hartford financial services group,HIG,"",615100.0,34273000.0,0.5182,1.2124,56,-757521.0,-55.187922,reduction,0.1705106,Q1 2018,FINANCE,13F,06/30/2019,49.7362
Hubbell inc class b,HUBB,"",261518.0,34102000.0,0.5156,0.4821,57,31518.0,13.703478,addition,0.4789707,Q1 2018,INDUSTRIALS,13F,06/30/2019,129.3991
Eog resources inc,EOG,"",360800.0,33612000.0,0.5082,,58,360800.0,,new,0.0622005,Q2 2019,ENERGY,13F,06/30/2019,93.16
Xylem inc,XYL,"",400000.0,33456000.0,0.5058,,59,400000.0,,new,0.2223087,Q2 2019,INDUSTRIALS,13F,06/30/2019,83.64
Resideo technologies inc,REZI,"",1524024.0,33407000.0,0.5051,0.7913,60,-785003.0,-33.997134,reduction,1.2420733,Q4 2018,INDUSTRIALS,13F,06/30/2019,20.55
Itt inc. (international telephone and telegraph),ITT,"",500000.0,32740000.0,0.495,,61,500000.0,,new,0.5720824,Q2 2018,INDUSTRIALS,13F,06/30/2019,65.48
First industrial realty trust  inc.,FR,"",858971.0,31559000.0,0.4771,0.7206,62,-288194.0,-25.12228,reduction,0.6785457,Q2 2018,REAL ESTATE,13F,06/30/2019,30.92
Allstate corp (the),ALL,"",309235.0,31446000.0,0.4754,0.6573,63,-83651.0,-21.291418,reduction,0.0931543,Q1 2019,FINANCE,13F,06/30/2019,94.18
Liberty property trust,LPT,"",626468.0,31348000.0,0.4739,0.3612,64,206597.0,49.204875,addition,0.4234322,Q4 2017,REAL ESTATE,13F,06/30/2019,44.3194
Nxp semiconductors n.v.,NXPI,"",320207.0,31255000.0,0.4725,0.593,65,-57462.0,-15.21491,reduction,0.0974162,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,106.6235
Lexington realty trust,LXP,"",3284630.0,30908000.0,0.4673,0.3819,66,911623.0,38.416364,addition,1.3960515,Q1 2019,REAL ESTATE,13F,06/30/2019,9.1571
Norfolk southern corp.,NSC,"",152409.0,30380000.0,0.4593,0.3879,67,35568.0,30.441369,addition,0.0569838,Q4 2017,TRANSPORTS,13F,06/30/2019,163.1914
Cabot microelectronics corp,CCMP,"",273025.0,30055000.0,0.4544,0.2528,68,145925.0,114.811172,addition,0.9427659,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,110.9552
Advanced disposal services inc,ADSW,"",930000.0,29676000.0,0.4487,,69,930000.0,,new,1.0464724,Q2 2019,INDUSTRIALS,13F,06/30/2019,31.91
Grace (w.r.) & co. (de),GRA,"",385000.0,29302000.0,0.443,0.4991,70,25000.0,6.944444,addition,0.5758301,Q4 2018,MATERIALS,13F,06/30/2019,74.5043
Booking holdings inc. (priceline),BKNG,"",15540.0,29133000.0,0.4404,,71,15540.0,,new,0.0316755,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,1874.71
United parcel service  inc. class b,UPS,"",280976.0,29016000.0,0.4387,0.2641,72,147943.0,111.207745,addition,0.0326629,Q3 2017,TRANSPORTS,13F,06/30/2019,107.135
Wesco international  inc,WCC,"",561995.0,28465000.0,0.4303,0.1005,73,455305.0,426.755085,addition,1.2433518,Q1 2018,INDUSTRIALS,13F,06/30/2019,52.3775
Four corners property trust inc,FCPT,"",1018942.0,27848000.0,0.421,0.4052,74,248470.0,32.249063,addition,1.4896813,Q2 2018,REAL ESTATE,13F,06/30/2019,25.803
Allegion plc,ALLE,"",243524.0,26922000.0,0.407,,75,243524.0,,new,0.2592060,Q2 2019,INDUSTRIALS,13F,06/30/2019,110.55
Weingarten realty investors,WRI,"",967966.0,26542000.0,0.4013,0.1928,76,598366.0,161.895563,addition,0.7524026,Q1 2019,REAL ESTATE,13F,06/30/2019,28.1646
Alphabet inc. class a,GOOGL,"",24425.0,26447000.0,0.3998,0.4284,77,3935.0,19.20449,addition,0.0035134,Q1 2019,COMMUNICATIONS,13F,06/30/2019,1161.7316
Mellanox technologies ltd,MLNX,"",230000.0,25454000.0,0.3848,0.906,78,-200892.0,-46.622355,reduction,0.4241195,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,110.4902
Willis towers watson plc,WLTW,"",132718.0,25421000.0,0.3843,0.4498,79,-11426.0,-7.926795,reduction,0.1027229,Q3 2018,FINANCE,13F,06/30/2019,175.65
Aramark,ARMK,"",700903.0,25275000.0,0.3821,0.3128,80,104952.0,17.610844,addition,0.2844228,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,35.5588
Spark therapeutics inc,ONCE,"",245000.0,25083000.0,0.3792,0.7789,81,-140007.0,-36.364793,reduction,0.6378547,Q1 2019,HEALTH CARE,13F,06/30/2019,113.88
Applied industrial technologies inc. (brown fence & wire - jim brown stores - bearings specialists),AIT,"",390000.0,23997000.0,0.3628,0.3645,82,45000.0,13.043478,addition,1.0061920,Q4 2018,INDUSTRIALS,13F,06/30/2019,56.6591
Iaa inc,IAA,"",614127.0,23816000.0,0.3601,,83,614127.0,,new,No Data,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,38.78
Marathon oil corp. (1901) (old u.s. steel),MRO,"",1647600.0,23412000.0,0.354,0.2663,84,750400.0,83.637985,addition,0.2012951,Q3 2018,ENERGY,13F,06/30/2019,18.6815
Vici properties inc,VICI,"",1055300.0,23259000.0,0.3516,0.0485,85,930532.0,745.809823,addition,0.2289104,Q3 2018,REAL ESTATE,13F,06/30/2019,21.8785
Spdr energy select sector fund,XLE,"",364882.0,23247000.0,0.3515,0.3777,86,43296.0,13.463273,addition,No Data,Q1 2018,ENERGY,13F,06/30/2019,66.985
Stag industrial inc,STAG,"",766415.0,23176000.0,0.3504,0.199,87,388615.0,102.862626,addition,0.6099602,Q1 2017,REAL ESTATE,13F,06/30/2019,27.9511
Alerian mlp etf,AMLP,"",2335400.0,23004000.0,0.3478,0.4149,88,6700.0,0.287714,addition,No Data,Q4 2018,FINANCE,13F,06/30/2019,8.7332
Urban edge properties,UE,"",1315458.0,22797000.0,0.3447,0.2872,89,464678.0,54.61788,addition,1.0924824,Q1 2019,REAL ESTATE,13F,06/30/2019,18.4101
Marathon petroleum corp,MPC,"",401781.0,22452000.0,0.3394,0.306,90,113981.0,39.604239,addition,0.0606352,Q4 2018,ENERGY,13F,06/30/2019,58.3828
Dollar tree inc.,DLTR,"",205116.0,22027000.0,0.333,,91,205116.0,,new,0.0859953,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,107.39
Nasdaq inc,NDAQ,"",223800.0,21523000.0,0.3254,,92,223800.0,,new,0.1352920,Q2 2019,FINANCE,13F,06/30/2019,96.17
Synaptics inc,SYNA,"",735427.0,21430000.0,0.324,0.366,93,217172.0,41.904468,addition,2.1378692,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,35.6778
Abbott laboratories,ABT,"",253516.0,21321000.0,0.3223,0.2038,94,110016.0,76.666202,addition,0.0144333,Q2 2018,HEALTH CARE,13F,06/30/2019,81.4625
Prudential financial inc.,PRU,"",208975.0,21106000.0,0.3191,0.3394,95,1032.0,0.49629,addition,0.0511780,Q3 2017,FINANCE,13F,06/30/2019,81.6461
Johnson & johnson co.,JNJ,"",151320.0,21076000.0,0.3186,0.3084,96,27146.0,21.861259,addition,0.0056402,Q1 2018,HEALTH CARE,13F,06/30/2019,139.6498
Symantec corp.,SYMC,"",960700.0,20905000.0,0.3161,,97,960700.0,,new,0.1502925,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,21.76
Invitation homes inc,INVH,"",777063.0,20771000.0,0.314,0.336,98,-278.0,-0.035763,reduction,0.1480148,Q3 2018,REAL ESTATE,13F,06/30/2019,21.845
Keycorp  inc. (cleveland  ohio),KEY,"",1169261.0,20754000.0,0.3138,,99,1169261.0,,new,0.1159073,Q2 2019,FINANCE,13F,06/30/2019,17.75
Unifirst corp,UNF,"",110009.0,20744000.0,0.3136,0.2913,100,3184.0,2.980576,addition,0.5771721,Q1 2019,INDUSTRIALS,13F,06/30/2019,154.515
Us foods holding corp,USFD,"",570600.0,20405000.0,0.3085,,101,570600.0,,new,0.2611442,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,35.76
Centene corp,CNC,"",387406.0,20316000.0,0.3071,,102,387406.0,,new,0.0937620,Q2 2019,HEALTH CARE,13F,06/30/2019,52.44
Arrow electronics corp.,ARW,"",283155.0,20180000.0,0.3051,0.3585,103,21280.0,8.126014,addition,0.3323806,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,74.0174
Dover corp.,DOV,"",199619.0,20002000.0,0.3024,,104,199619.0,,new,0.1374692,Q2 2018,INDUSTRIALS,13F,06/30/2019,100.2
Mgm growth properties llc,MGP,"",638722.0,19577000.0,0.296,0.3759,105,-17437.0,-2.657435,reduction,0.7055363,Q3 2017,REAL ESTATE,13F,06/30/2019,32.25
Camden property trust,CPT,"",182731.0,19075000.0,0.2884,0.2531,106,42350.0,30.1679,addition,0.1841861,Q1 2019,REAL ESTATE,13F,06/30/2019,102.1698
Golar lng ltd,GLNG,"",1025000.0,18942000.0,0.2864,0.2371,107,392068.0,61.944727,addition,1.0118460,Q2 2018,ENERGY,13F,06/30/2019,23.4967
Cognizant technology solutions corp,CTSH,"",296495.0,18795000.0,0.2842,0.421,108,-30575.0,-9.348152,reduction,0.0515554,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,66.3801
Store capital corp,STOR,"",563087.0,18689000.0,0.2826,0.451,109,-194715.0,-25.694707,reduction,0.2479795,Q3 2018,REAL ESTATE,13F,06/30/2019,28.2239
Medtronic plc,MDT,"",190860.0,18588000.0,0.281,0.3219,110,-8087.0,-4.064902,reduction,0.0142311,Q3 2018,HEALTH CARE,13F,06/30/2019,92.31
Rexford industrial realty inc,REXR,"",459571.0,18553000.0,0.2805,0.517,111,-353091.0,-43.448691,reduction,0.4417678,Q1 2017,REAL ESTATE,13F,06/30/2019,28.0721
Diamondback energy inc,FANG,"",170100.0,18536000.0,0.2802,0.5379,112,-128100.0,-42.957746,reduction,0.1032975,Q3 2018,ENERGY,13F,06/30/2019,119.7504
Williams cos. (the),WMB,"",651300.0,18262000.0,0.2761,0.2841,113,94400.0,16.950979,addition,0.0537492,Q1 2019,ENERGY,13F,06/30/2019,28.6214
Cboe global markets inc,CBOE,"",175950.0,18234000.0,0.2757,,114,175950.0,,new,0.1576189,Q2 2019,FINANCE,13F,06/30/2019,103.63
Duke energy corp.,DUK,"",205900.0,18169000.0,0.2747,,115,205900.0,,new,0.0282966,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,88.24
Salesforce.com inc.,CRM,"",119694.0,18161000.0,0.2746,0.4599,116,-43760.0,-26.772058,reduction,0.0155291,Q3 2012,INFORMATION TECHNOLOGY,13F,06/30/2019,121.9262
Range resources corp.,RRC,"",2595925.0,18120000.0,0.2739,0.6605,117,-711790.0,-21.519085,reduction,1.0377059,Q4 2016,ENERGY,13F,06/30/2019,16.4738
Chemical financial corp.,CHFC,"",437075.0,17968000.0,0.2716,0.2975,118,30225.0,7.429028,addition,0.6109519,Q1 2019,FINANCE,13F,06/30/2019,41.1565
Retail opportunity investments corp,ROIC,"",1038900.0,17796000.0,0.269,,119,1038900.0,,new,0.9088444,Q2 2019,REAL ESTATE,13F,06/30/2019,17.13
Armstrong world industries inc.,AWI,"",182700.0,17758000.0,0.2685,,120,182700.0,,new,0.3767010,Q2 2019,INDUSTRIALS,13F,06/30/2019,97.2
Easterly government properties inc,DEA,"",980402.0,17755000.0,0.2684,0.1983,121,360602.0,58.180381,addition,1.4413437,Q1 2019,REAL ESTATE,13F,06/30/2019,18.0468
First horizon national corp. (first national bank  memphis  tn),FHN,"",1186500.0,17714000.0,0.2678,,122,1186500.0,,new,0.3737832,Q2 2019,FINANCE,13F,06/30/2019,14.93
United technologies corp. (united aircraft corp.),UTX,"",135000.0,17577000.0,0.2657,,123,135000.0,,new,0.0156553,Q2 2019,INDUSTRIALS,13F,06/30/2019,130.2
Kkr & co. l.p.,KKR,"",692782.0,17507000.0,0.2647,0.3302,124,-98592.0,-12.458332,reduction,0.1423135,Q3 2018,FINANCE,13F,06/30/2019,26.7683
Vulcan materials company,VMC,"",125024.0,17167000.0,0.2595,0.2295,125,15899.0,14.56953,addition,0.0946650,Q2 2017,MATERIALS,13F,06/30/2019,104.3508
Americold realty trust,COLD,"",527890.0,17114000.0,0.2587,0.2574,126,52986.0,11.157202,addition,0.2756174,Q1 2018,INDUSTRIALS,13F,06/30/2019,27.1384
Western digital corp,WDC,"",355611.0,16909000.0,0.2556,0.3951,127,-107122.0,-23.149851,reduction,0.1222661,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,72.0203
Autozone inc.,AZO,"",15182.0,16692000.0,0.2524,0.2502,128,1431.0,10.406516,addition,0.0609964,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,763.7865
Eaton corp.,ETN,"",200000.0,16656000.0,0.2518,,129,200000.0,,new,0.0471453,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,83.28
Allison transmission holdings inc,ALSN,"",357900.0,16589000.0,0.2508,0.1706,130,144082.0,67.385346,addition,0.2856801,Q3 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,44.8923
Schein (henry) inc.,HSIC,"",236740.0,16548000.0,0.2502,,131,236740.0,,new,0.1563672,Q2 2019,HEALTH CARE,13F,06/30/2019,69.9
Skyworks solutions  inc.,SWKS,"",211394.0,16334000.0,0.2469,0.2585,132,34965.0,19.81817,addition,0.1221931,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,68.7154
Toll brothers  inc.,TOL,"",440523.0,16132000.0,0.2439,,133,440523.0,,new,0.3018521,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,36.62
Fiserv inc.,FISV,"",175556.0,16004000.0,0.242,,134,175556.0,,new,0.0447881,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,91.16
Apache corp.,APA,"",549500.0,15919000.0,0.2407,,135,549500.0,,new,0.1463733,Q2 2019,ENERGY,13F,06/30/2019,28.97
Amerisourcebergen corp (holding co),ABC,"",184449.0,15726000.0,0.2378,0.2619,136,-954.0,-0.514555,reduction,0.0873793,Q4 2018,CONSUMER STAPLES,13F,06/30/2019,75.5347
Essential properties realty trust inc,EPRT,"",783949.0,15710000.0,0.2375,0.565,137,-845309.0,-51.883066,reduction,No Data,Q2 2018,REAL ESTATE,13F,06/30/2019,14.8395
Healthcare realty trust inc,HR,"",499035.0,15630000.0,0.2363,0.234,138,88895.0,21.674306,addition,0.3977642,Q1 2018,REAL ESTATE,13F,06/30/2019,29.4293
Humana  inc.,HUM,"",56450.0,14976000.0,0.2264,0.2871,139,-4310.0,-7.093483,reduction,0.0416175,Q1 2019,HEALTH CARE,13F,06/30/2019,266.0
Boston scientific inc.,BSX,"",346736.0,14903000.0,0.2253,0.372,140,-198868.0,-36.449146,reduction,0.0249361,Q2 2018,HEALTH CARE,13F,06/30/2019,34.2028
Hca healthcare inc,HCA,"",109878.0,14852000.0,0.2245,0.2708,141,-7017.0,-6.002823,reduction,0.0320990,Q3 2018,HEALTH CARE,13F,06/30/2019,131.2746
Canadian pacific railway ltd. (2001),CP,"",62930.0,14804000.0,0.2238,,142,62930.0,,new,0.0449661,Q2 2019,TRANSPORTS,13F,06/30/2019,235.24
Coca cola co.,KO,"",285000.0,14512000.0,0.2194,,143,285000.0,,new,0.0066809,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,50.92
United rentals  inc.,URI,"",107952.0,14318000.0,0.2165,0.1821,144,18219.0,20.303567,addition,0.1370123,Q3 2018,INDUSTRIALS,13F,06/30/2019,145.9427
Silicon laboratories inc,SLAB,"",137568.0,14225000.0,0.2151,0.284,145,-60173.0,-30.430209,reduction,0.3174158,Q4 2012,INFORMATION TECHNOLOGY,13F,06/30/2019,62.3939
Slm corp,SLM,"",1449656.0,14091000.0,0.213,0.3151,146,-340000.0,-18.998064,reduction,0.3318810,Q4 2018,FINANCE,13F,06/30/2019,8.31
Spirit realty capital  inc.,SRC,"",324800.0,13856000.0,0.2095,,147,324800.0,,new,0.3718800,Q2 2019,REAL ESTATE,13F,06/30/2019,42.66
D.r. horton  inc.,DHI,"",320868.0,13839000.0,0.2092,,148,320868.0,,new,0.0859268,Q1 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,43.13
Ebay inc.,EBAY,"",350105.0,13829000.0,0.2091,0.3074,149,-115750.0,-24.846787,reduction,0.0382679,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,37.14
Avalonbay communities  inc.,AVB,"",67320.0,13678000.0,0.2068,0.1699,150,19664.0,41.26238,addition,0.0485399,Q4 2017,REAL ESTATE,13F,06/30/2019,201.4456
Ametek inc.,AME,"",150000.0,13626000.0,0.206,,151,150000.0,,new,0.0659283,Q2 2019,INDUSTRIALS,13F,06/30/2019,90.84
Continental resources inc,CLR,"",320825.0,13504000.0,0.2042,0.7179,152,-581775.0,-64.455462,reduction,0.0853213,Q1 2018,ENERGY,13F,06/30/2019,43.674
Becton  dickinson and co.,BDX,"",51825.0,13060000.0,0.1974,,153,51825.0,,new,0.0192615,Q2 2019,HEALTH CARE,13F,06/30/2019,252.01
