Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Intuit  inc.,INTU,"",1280083.0,334524000.0,2.8295,3.2399,14,160500.0,14.335695,addition,0.4941070,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,250.9982
Square inc,SQ,"",4403521.0,319388000.0,2.7015,,15,4403521.0,,new,1.0410953,Q2 2019,FINANCE,13F,06/30/2019,72.53
Intuitive surgical inc,ISRG,"",576652.0,302483000.0,2.5585,,16,576652.0,,new,0.4998717,Q2 2019,HEALTH CARE,13F,06/30/2019,524.55
Global payments inc.,GPN,"",1855215.0,297076000.0,2.5128,,17,1855215.0,,new,1.1753025,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,160.13
Motorola solutions inc,MSI,"",1712277.0,285488000.0,2.4147,0.2377,18,1559377.0,1019.867233,addition,1.0448996,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,163.4626
Activision blizzard inc,ATVI,"",5906786.0,278800000.0,2.3582,3.193,19,-428296.0,-6.760702,reduction,0.7733116,Q4 2014,INFORMATION TECHNOLOGY,13F,06/30/2019,37.7862
Salesforce.com inc.,CRM,"",1803504.0,273646000.0,2.3146,3.362,20,-114161.0,-5.953125,reduction,0.2339873,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,149.0817
Twilio inc,TWLO,"",1632823.0,222636000.0,1.8831,1.9112,21,296335.0,22.172664,addition,1.2931203,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,106.9446
Netease inc adr,NTES,"",819287.0,209549000.0,1.7724,,22,819287.0,,new,0.6238384,Q2 2019,COMMUNICATIONS,13F,06/30/2019,255.77
Broadcom ltd. (avago technologies),AVGO,"",715496.0,205963000.0,1.7421,2.3818,23,0.0,0.0,,0.1807493,Q1 2014,INFORMATION TECHNOLOGY,13F,06/30/2019,155.3984
Electronic arts  inc.,EA,"",1652453.0,167328000.0,1.4153,1.9485,24,-79457.0,-4.587825,reduction,0.5515531,Q4 2014,INFORMATION TECHNOLOGY,13F,06/30/2019,78.6789
Shopify inc,SHOP,"",542185.0,162736000.0,1.3765,1.2401,25,0.0,0.0,,0.4863518,Q2 2017,COMMUNICATIONS,13F,06/30/2019,95.7194
Okta inc,OKTA,"",1014699.0,125326000.0,1.06,0.2781,26,711032.0,234.14859,addition,0.9042051,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,111.3058
Zoom video communications inc,ZM,"",1235238.0,109677000.0,0.9277,,27,1235238.0,,new,0.4817809,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,88.79
Guardant health inc,GH,"",1195996.0,103251000.0,0.8733,,28,1195996.0,,new,1.3729721,Q2 2019,HEALTH CARE,13F,06/30/2019,86.33
Smartsheet inc,SMAR,"",2053385.0,99384000.0,0.8406,,29,2053385.0,,new,1.9455988,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,48.4
Tableau software inc,DATA,"",406300.0,67454000.0,0.5705,3.4788,30,-2062649.0,-83.543605,reduction,0.4714551,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,115.2228
Green dot corp,GDOT,"",1251295.0,61188000.0,0.5175,,31,1251295.0,,new,2.3542709,Q2 2019,FINANCE,13F,06/30/2019,48.9
Tradeweb markets inc,TW,"",1176008.0,51521000.0,0.4358,,32,1176008.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,43.81
Stoneco ltd,STNE,"",1171326.0,34648000.0,0.2931,,33,1171326.0,,new,0.4227545,Q2 2019,FINANCE,13F,06/30/2019,29.58
Zillow group inc class c,Z,"",644709.0,29908000.0,0.253,0.2479,34,0.0,0.0,,0.4584434,Q4 2017,COMMUNICATIONS,13F,06/30/2019,34.5666
Slack technologies inc,WORK,"",752572.0,28221000.0,0.2387,,35,752572.0,,new,0.3877438,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,37.5
Nvidia corp.,NVDA,"",161612.0,26542000.0,0.2245,3.1782,36,-1437296.0,-89.892352,reduction,0.0265595,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,108.2859
Wix.com ltd,WIX,"",177904.0,25280000.0,0.2138,,37,177904.0,,new,0.3568071,Q2 2019,COMMUNICATIONS,13F,06/30/2019,142.1
Workday inc,WDAY,"",115988.0,23845000.0,0.2017,0.2476,38,0.0,0.0,,0.0522468,Q4 2018,COMMUNICATIONS,13F,06/30/2019,159.68
Guidewire software  inc.,GWRE,"",229630.0,23280000.0,0.1969,,39,229630.0,,new,0.2820314,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,101.38
Brf brasil foods s.asa adr,BRFS,"",2643071.0,20087000.0,0.1699,,40,2643071.0,,new,0.3253131,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,7.6
Fitbit inc,FIT,"",3178570.0,13986000.0,0.1183,0.2083,41,0.0,0.0,,1.4206534,Q4 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,5.92
Luckin coffee inc,LK,"",514823.0,10034000.0,0.0849,,42,514823.0,,new,No Data,Q2 2019, ,13F,06/30/2019,19.49
Sea ltd adr,SE,"",276100.0,9172000.0,0.0776,,43,276100.0,,new,0.0844239,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,33.22
3d systems corp.,DDD,"",961067.0,8746000.0,0.074,0.1145,44,0.0,0.0,,0.8236776,Q1 2017,INDUSTRIALS,13F,06/30/2019,10.76
Mallinckrodt plc,MNK,"",771193.0,7080000.0,0.0599,0.3179,45,-549576.0,-41.610304,reduction,0.9201682,Q1 2019,HEALTH CARE,13F,06/30/2019,21.74
Stratasys ltd,SSYS,"",215702.0,6335000.0,0.0536,0.0569,46,0.0,0.0,,0.3995961,Q2 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,23.82
Atlassian corp plc,TEAM,"",30089.0,3937000.0,0.0333,0.0374,47,0.0,0.0,,0.0283324,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,88.98
Tencent music entertainment group,TME,"",192217.0,2881000.0,0.0244,0.4964,48,-2285299.0,-92.241544,reduction,0.0117532,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,13.22
Williams-sonoma inc.,WSM,"",41729.0,2712000.0,0.0229,0.0087,49,27740.0,198.298663,addition,0.0531512,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,64.1346
Wingstop inc,WING,"",28235.0,2675000.0,0.0226,0.0085,50,18102.0,178.644034,addition,0.0960374,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,83.7826
Michaels companies inc. (the),MIK,"",296275.0,2578000.0,0.0218,,51,296275.0,,new,0.1873735,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,8.7
Murphy usa inc,MUSA,"",30575.0,2569000.0,0.0217,,52,30575.0,,new,0.0950420,Q2 2019,ENERGY,13F,06/30/2019,84.03
Hertz global holdings inc,HTZ,"",160000.0,2554000.0,0.0216,0.0041,53,135673.61,557.721923,addition,0.1901593,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,15.8785
Dicks sporting goods  inc,DKS,"",73212.0,2535000.0,0.0214,,54,73212.0,,new,0.0760249,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,34.63
Red robin gourmet burgers inc,RRGB,"",82174.0,2512000.0,0.0212,,55,82174.0,,new,0.6335698,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,30.57
Floor & decor holdings inc,FND,"",58481.0,2450000.0,0.0207,0.0052,56,47152.0,416.206196,addition,0.0595287,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,41.7683
Burlington stores inc,BURL,"",14382.0,2447000.0,0.0207,,57,14382.0,,new,0.0216531,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,170.15
Ross stores inc. (de),ROST,"",23995.0,2378000.0,0.0201,0.0046,58,19559.0,440.915239,addition,0.0065303,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,96.1768
Chuys holdings inc,CHUY,"",102328.0,2345000.0,0.0198,,59,102328.0,,new,0.6076485,Q1 2018,INDUSTRIALS,13F,06/30/2019,22.92
Skechers usa  inc. class a,SKX,"",71956.0,2266000.0,0.0192,,60,71956.0,,new,0.0457038,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,31.49
Cracker barrel old country store  inc.,CBRL,"",13263.0,2264000.0,0.0191,,61,13263.0,,new,0.0551705,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,170.73
Tailored brands inc,TLRD,"",364843.0,2105000.0,0.0178,,62,364843.0,,new,0.7270686,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,5.77
Del taco restaurants inc,TACO,"",155869.0,1998000.0,0.0169,,63,155869.0,,new,0.4241333,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,12.82
Seaworld entertainment  inc.,SEAS,"",64407.0,1997000.0,0.0169,,64,64407.0,,new,0.0764929,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,31.0
Hertz global holdings inc,HTZ/R,"",1008786.0,1967000.0,0.0166,,65,1008786.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
La-z-boy inc,LZB,"",63437.0,1945000.0,0.0165,,66,63437.0,,new,0.1359559,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,30.66
Dennys corp.,DENN,"",94615.0,1942000.0,0.0164,,67,94615.0,,new,0.1536956,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,20.53
Abercrombie & fitch co.,ANF,"",120930.0,1940000.0,0.0164,0.0129,68,78410.0,184.407338,addition,0.1815221,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,20.0378
Wayfair inc class a,W,"",13268.0,1937000.0,0.0164,,69,13268.0,,new,0.0144784,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,146.0
Cvs health corp. (melville shoe),CVS,"",35125.0,1914000.0,0.0162,0.0044,70,27680.0,371.79315,addition,0.0027080,Q1 2018,CONSUMER STAPLES,13F,06/30/2019,57.6424
Walmart inc,WMT,"",16865.0,1863000.0,0.0158,,71,16865.0,,new,0.0005693,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,110.49
Under armour inc,UAA,"",72223.0,1831000.0,0.0155,,72,72223.0,,new,0.0160943,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,25.35
Qurate retail group inc series a (formerly liberty interactive),QRTEA,"",145834.0,1807000.0,0.0153,,73,145834.0,,new,0.0335397,Q2 2019,COMMUNICATIONS,13F,06/30/2019,12.39
Oxford industries,OXM,"",23829.0,1806000.0,0.0153,0.0058,74,16812.0,239.589568,addition,0.1405012,Q1 2019,INDUSTRIALS,13F,06/30/2019,75.641
Ralph lauren corp. class a,RL,"",15124.0,1718000.0,0.0145,0.01,75,8179.0,117.768179,addition,0.0192368,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,121.7477
Boston beer inc class a,SAM,"",4243.0,1603000.0,0.0136,,76,4243.0,,new,0.0365146,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,377.76
Fedex corporation,FDX,"",9402.0,1544000.0,0.0131,,77,9402.0,,new,0.0036081,Q2 2019,TRANSPORTS,13F,06/30/2019,164.19
Carters inc,CRI,"",15508.0,1513000.0,0.0128,,78,15508.0,,new,0.0341435,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,97.54
Petiq inc,PETQ,"",45544.0,1501000.0,0.0127,,79,45544.0,,new,0.1615035,Q2 2019,HEALTH CARE,13F,06/30/2019,32.96
Frontier communications corp,FTR,"",848516.0,1485000.0,0.0126,0.0187,80,0.0,0.0,,0.8056551,Q2 2017,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,1.99
Genesco inc.,GCO,"",34049.0,1440000.0,0.0122,0.0063,81,21475.0,170.78893,addition,0.1855531,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,43.9704
General mills co.,GIS,"",26753.0,1405000.0,0.0119,,82,26753.0,,new,0.0044678,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,52.52
Hostess brands inc class a,TWNK,"",96432.0,1392000.0,0.0118,,83,96432.0,,new,0.0740077,Q2 2019,FINANCE,13F,06/30/2019,14.44
Constellation brands  inc.,STZ,"",7016.0,1382000.0,0.0117,,84,7016.0,,new,0.0036666,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,196.94
Simply good foods co/the,SMPL,"",55957.0,1347000.0,0.0114,,85,55957.0,,new,0.0683069,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,24.08
Pepsico inc. (loft  inc.),PEP,"",10085.0,1322000.0,0.0112,,86,10085.0,,new,0.0007182,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,131.13
Foot locker inc. (f. w. woolworth),FL,"",31229.0,1309000.0,0.0111,,87,31229.0,,new,0.0278061,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,41.92
Tjx companies inc.,TJX,"",24657.0,1304000.0,0.011,0.0122,88,3956.0,19.110188,addition,0.0020298,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,47.0113
Office depot inc,ODP,"",627099.0,1292000.0,0.0109,0.0006,89,611420.0,3899.610945,addition,0.1154389,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,2.0801
Ulta beauty inc,ULTA,"",3693.0,1281000.0,0.0108,0.0102,90,1042.0,39.305922,addition,0.0062860,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,277.1223
Mondelez international inc. (kraft foods),MDLZ,"",23192.0,1250000.0,0.0106,0.0026,91,18560.0,400.690846,addition,0.0016059,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,53.1051
Zumiez inc,ZUMZ,"",45656.0,1192000.0,0.0101,,92,45656.0,,new,0.1775117,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,26.1
Amc entertainment holdings inc,AMC,"",122255.0,1141000.0,0.0097,0.0029,93,104337.0,582.302712,addition,0.1177567,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,9.7624
Cinemark holdings inc,CNK,"",30707.0,1109000.0,0.0094,0.0038,94,22168.0,259.608853,addition,0.0262341,Q1 2018,COMMUNICATIONS,13F,06/30/2019,36.0166
Tyson foods  inc.,TSN,"",13316.0,1075000.0,0.0091,,95,13316.0,,new,0.0036383,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,80.74
Darden restaurants inc,DRI,"",8705.0,1060000.0,0.009,,96,8705.0,,new,0.0070784,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,121.73
Fiesta restaurant group inc,FRGI,"",78570.0,1032000.0,0.0087,,97,78570.0,,new,0.2862295,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,13.14
Lowes companies  inc.,LOW,"",10189.0,1028000.0,0.0087,,98,10189.0,,new,0.0012802,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,100.91
Jack in the box  inc,JACK,"",12619.0,1027000.0,0.0087,,99,12619.0,,new,0.0488919,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,81.39
Ishares msci united kingdom etf,EWU,"",31259.0,1010000.0,0.0085,,100,31259.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,32.32
Boot barn holdings inc,BOOT,"",28108.0,1002000.0,0.0085,0.0128,101,-11307.0,-28.687048,reduction,0.0991114,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,29.44
Ishares msci hong kong etf,EWH,"",37574.0,972000.0,0.0082,,102,37574.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,25.88
Campbell soup co.,CPB,"",23975.0,961000.0,0.0081,,103,23975.0,,new,0.0079619,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,40.07
Keurig dr pepper inc,KDP,"",32081.0,927000.0,0.0078,,104,32081.0,,new,0.0178000,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,28.9
Best buy co.  inc.,BBY,"",13292.0,927000.0,0.0078,0.0075,105,3811.0,40.196182,addition,0.0049634,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,70.6787
Big lots inc,BIG,"",32140.0,920000.0,0.0078,,106,32140.0,,new,0.0805514,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,28.61
Hain celestial group,HAIN,"",41529.0,909000.0,0.0077,,107,41529.0,,new,0.0398857,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,21.9
United parcel service  inc. class b,UPS,"",8753.0,904000.0,0.0076,0.0085,108,1894.0,27.613355,addition,0.0010175,Q4 2018,TRANSPORTS,13F,06/30/2019,100.4913
Clorox co.,CLX,"",5897.0,903000.0,0.0076,,109,5897.0,,new,0.0046013,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,153.11
Vera bradley inc,VRA,"",72945.0,875000.0,0.0074,0.0125,110,-12412.0,-14.54128,reduction,0.2134767,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,10.979
Signet jewelers ltd,SIG,"",48090.0,860000.0,0.0073,,111,48090.0,,new,0.0926768,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,17.88
Jetblue airways corp,JBLU,"",44164.0,817000.0,0.0069,0.002,112,32966.0,294.391856,addition,0.0146749,Q1 2019,TRANSPORTS,13F,06/30/2019,17.9499
Six flags entertainment corp.,SIX,"",15964.0,793000.0,0.0067,,113,15964.0,,new,0.0189461,Q2 2019,COMMUNICATIONS,13F,06/30/2019,49.68
New york times  inc. class a,NYT,"",24041.0,784000.0,0.0066,,114,24041.0,,new,0.0144895,Q2 2019,COMMUNICATIONS,13F,06/30/2019,32.62
Central garden & pet co. class a,CENTA,"",31411.0,774000.0,0.0065,,115,31411.0,,new,0.0539060,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,24.64
Dine brands global inc,DIN,"",8074.0,771000.0,0.0065,0.0033,116,4826.0,148.583744,addition,0.0456674,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,93.7885
Hibbett sports  inc.,HIBB,"",40771.0,742000.0,0.0063,0.011,117,-2869.0,-6.574244,reduction,0.2217020,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,21.175
Weis markets inc,WMK,"",20030.0,729000.0,0.0062,0.0033,118,12826.0,178.039978,addition,0.0744610,Q4 2018,CONSUMER STAPLES,13F,06/30/2019,39.6371
Caleres inc. (brown shoe co.),CAL,"",36120.0,720000.0,0.0061,,119,36120.0,,new,0.0854911,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,19.92
Prestige consumer healthcare inc,PBH,"",22530.0,714000.0,0.006,,120,22530.0,,new,0.0434942,Q2 2019,HEALTH CARE,13F,06/30/2019,31.68
Dollar tree inc.,DLTR,"",6527.0,701000.0,0.0059,0.0066,121,814.0,14.248206,addition,0.0027365,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,95.1461
Pvh corp. (phillips jones - phillips van heusen corp.),PVH,"",6885.0,652000.0,0.0055,,122,6885.0,,new,0.0091617,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,94.64
Kimberly-clark corp.,KMB,"",4875.0,650000.0,0.0055,,123,4875.0,,new,0.0014167,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,133.28
Dunkin brands group inc,DNKN,"",7918.0,631000.0,0.0053,0.0063,124,354.0,4.680063,addition,0.0095802,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,69.4173
American airlines group inc,AAL,"",18493.0,603000.0,0.0051,0.011,125,-12922.0,-41.133217,reduction,0.0041182,Q1 2018,TRANSPORTS,13F,06/30/2019,35.146
Texas roadhouse inc  class a,TXRH,"",11210.0,602000.0,0.0051,,126,11210.0,,new,0.0156368,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,53.67
Mccormick & co. non-voting shares,MKC,"",3837.0,595000.0,0.005,,127,3837.0,,new,0.0029066,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,155.01
Scotts miracle-gro co. (the),SMG,"",5923.0,583000.0,0.0049,,128,5923.0,,new,0.0107010,Q2 2019,MATERIALS,13F,06/30/2019,98.5
Turning point brands inc,TPB,"",11822.0,579000.0,0.0049,,129,11822.0,,new,0.0603471,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,48.98
Freshpet inc,FRPT,"",12646.0,576000.0,0.0049,0.0028,130,6590.0,108.817701,addition,0.0352453,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,43.968
Zynga  inc.,ZNGA,"",91255.0,559000.0,0.0047,,131,91255.0,,new,0.0097570,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,6.13
Inter parfums inc.,IPAR,"",8183.0,544000.0,0.0046,,132,8183.0,,new,0.0261187,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,66.49
Ishares msci australia etf,EWA,"",24022.0,541000.0,0.0046,,133,24022.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,22.54
Lumber liquidators holdings inc,LL,"",46632.0,539000.0,0.0046,,134,46632.0,,new,0.1628212,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,11.55
Kellogg co.,K,"",10039.0,538000.0,0.0046,,135,10039.0,,new,0.0029192,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,53.57
Conagra brands inc,CAG,"",20272.0,538000.0,0.0046,,136,20272.0,,new,0.0041719,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,26.52
Papa johns international inc.,PZZA,"",12037.0,538000.0,0.0046,0.0088,137,-3048.0,-20.205502,reduction,0.0378760,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,52.95
Shake shack inc,SHAK,"",7391.0,534000.0,0.0045,0.0043,138,827.0,12.599025,addition,0.0198950,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,48.4165
Procter & gamble co. (oh) (1905),PG,"",4869.0,534000.0,0.0045,0.0028,139,2428.0,99.467431,addition,0.0001931,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,106.8425
Helen of troy ltd.,HELE,"",4008.0,523000.0,0.0044,,140,4008.0,,new,0.0160256,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,130.59
Macys inc,M,"",23246.0,499000.0,0.0042,0.008,141,-6928.0,-22.960164,reduction,0.0075604,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,24.03
Grubhub inc,GRUB,"",6048.0,472000.0,0.004,,142,6048.0,,new,0.0066330,Q2 2019,COMMUNICATIONS,13F,06/30/2019,77.99
Lululemon athletica inc.,LULU,"",2599.0,468000.0,0.004,,143,2599.0,,new,0.0019847,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,180.21
Herbalife nutrition ltd,HLF,"",10792.0,461000.0,0.0039,0.0072,144,-1512.0,-12.288687,reduction,0.0070587,Q1 2019,HEALTH CARE,13F,06/30/2019,52.99
Edgewell personal care company,EPC,"",17082.0,460000.0,0.0039,,145,17082.0,,new,0.0315632,Q2 2019,INDUSTRIALS,13F,06/30/2019,26.95
L brands inc,LB,"",17001.0,444000.0,0.0038,0.0121,146,-22585.0,-57.052999,reduction,0.0061775,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,29.6381
Chipotle mexican grill  inc.,CMG,"",585.0,429000.0,0.0036,0.0094,147,-607.0,-50.922819,reduction,0.0021096,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,453.8014
Spirit airlines inc,SAVE,"",8501.0,406000.0,0.0034,,148,8501.0,,new,0.0124211,Q2 2019,TRANSPORTS,13F,06/30/2019,47.73
Chicos fas inc,CHS,"",115542.0,389000.0,0.0033,0.0015,149,83509.0,260.696781,addition,0.0991777,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,3.9938
Monster beverage corp.,MNST,"",5711.0,365000.0,0.0031,,150,5711.0,,new,0.0010515,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,63.83
Shutterstock inc,SSTK,"",9133.0,358000.0,0.003,,151,9133.0,,new,0.0259313,Q2 2019,COMMUNICATIONS,13F,06/30/2019,39.19
Glu mobile inc,GLUU,"",49673.0,357000.0,0.003,,152,49673.0,,new,0.0344664,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,7.18
Dillards inc.,DDS,"",5644.0,352000.0,0.003,0.004,153,648.0,12.970376,addition,0.0214194,Q1 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,70.9017
Craft brewery alliance  inc.,BREW,"",25099.0,351000.0,0.003,,154,25099.0,,new,0.1295098,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,13.99
Church & dwight co.  inc.,CHD,"",4656.0,340000.0,0.0029,,155,4656.0,,new,0.0018932,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,73.06
Tapestry inc,TPR,"",10396.0,330000.0,0.0028,,156,10396.0,,new,0.0035851,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,31.73
Brown-forman corp. class b,BF.B,"",5876.0,326000.0,0.0028,0.0028,157,1093.0,22.851767,addition,0.0012317,Q1 2019,CONSUMER STAPLES,13F,06/30/2019,53.2729
