Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Xpo logistics inc,XPO,"",1500000.0,86715000.0,0.7849,,26,1500000.0,,new,1.3736264,Q2 2019,TRANSPORTS,13F,06/30/2019,57.81
Veritiv corp,VRTV,"",3564439.0,69221000.0,0.6266,0.7883,27,0.0,0.0,,22.1669092,Q3 2014,MATERIALS,13F,06/30/2019,43.599
Trilogy metals,TMQ,"",13641368.0,39766000.0,0.36,0.2688,28,590610.0,4.525484,addition,10.3288923,Q2 2012,MATERIALS,13F,06/30/2019,1.4305
Sinclair broadcast group inc  class a,SBGI,"",549423.0,29466000.0,0.2667,0.9403,29,-2358673.0,-81.107123,reduction,0.6011850,Q2 2018,COMMUNICATIONS,13F,06/30/2019,31.607
Gossamer bio inc,GOSS,"",1267171.0,27254000.0,0.2467,0.2194,30,0.0,0.0,,1.9231613,Q1 2019,HEALTH CARE,13F,06/30/2019,21.67
Theravance biopharma inc,TBPH,PRN,30000000.0,25725000.0,0.2329,0.2455,31,0.0,0.0,,N/A,Q4 2016,HEALTH CARE,13F,06/30/2019,
Paratek pharmaceuticals inc,PRTK,"",2394498.0,9554000.0,0.0865,0.1078,32,0.0,0.0,,7.3858667,Q4 2014,HEALTH CARE,13F,06/30/2019,31.2928
Celgene corp.,CELG,"",0.0,0.0,,3.1707,"",-4000000.0,-100.0,soldall,0.0000000,Q1 2019,HEALTH CARE,13F,06/30/2019,94.34
Pioneer natural resources co.,PXD,"",0.0,0.0,,2.5614,"",-2001814.0,-100.0,soldall,0.0000000,Q3 2017,ENERGY,13F,06/30/2019,167.6197
Walt disney co. (the),DIS,"",0.0,0.0,,0.3724,"",-399151.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2019,111.03
Gty technology holdings inc,GTYHW,"",0.0,0.0,,0.0074,"",-1466666.0,-100.0,soldall,N/A,Q4 2018, ,13F,06/30/2019,
