Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Duke energy corp.,DUK,"",727722.0,64214000.0,0.4104,0.0105,46,710105.0,4030.794119,addition,0.1000099,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,88.2826
Coca cola co.,KO,"",1230103.0,62637000.0,0.4003,0.307,47,244825.0,24.848317,addition,0.0288357,Q4 2018,CONSUMER STAPLES,13F,06/30/2019,47.6919
Adobe systems  inc.,ADBE,"",211362.0,62278000.0,0.398,0.0886,48,161348.0,322.60567,addition,0.0433163,Q2 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,281.0203
Facebook inc,FB,"",321885.0,62124000.0,0.397,0.1293,49,205225.0,175.917195,addition,0.0112764,Q1 2014,COMMUNICATIONS,13F,06/30/2019,170.5621
First data corp,FDC,"",2186704.0,59194000.0,0.3783,0.3221,50,342541.0,18.574334,addition,0.2317111,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,26.3953
Us foods holding corp,USFD,"",1652739.0,59102000.0,0.3777,0.3915,51,-34040.0,-2.018047,reduction,0.7564023,Q2 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,30.0384
Medtronic plc,MDT,"",601159.0,58547000.0,0.3742,0.0489,52,520380.0,644.202082,addition,0.0448241,Q2 2016,HEALTH CARE,13F,06/30/2019,95.2537
Celgene corp.,CELG,"",615663.0,56912000.0,0.3637,0.1694,53,345663.0,128.023333,addition,0.0876563,Q2 2015,HEALTH CARE,13F,06/30/2019,81.0299
Lululemon athletica inc.,LULU,"",314656.0,56704000.0,0.3624,0.2109,54,121101.0,62.566712,addition,0.2402871,Q3 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,165.8728
Willis towers watson plc,WLTW,"",290949.0,55728000.0,0.3562,0.6716,55,-284110.0,-49.405365,reduction,0.2251927,Q3 2014,FINANCE,13F,06/30/2019,145.9774
Union pacific corp.,UNP,"",326107.0,55148000.0,0.3524,0.0429,56,287522.0,745.16522,addition,0.0451122,Q2 2015,TRANSPORTS,13F,06/30/2019,168.256
Entergy corp.,ETR,"",518007.0,53318000.0,0.3408,0.2532,57,119805.0,30.086489,addition,0.2732393,Q4 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,86.139
Spdr s&p consumer staples etf,XLP,PUT,900000.0,52848000.0,0.3377,,58,900000.0,,new,No Data,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,
Crown castle international corp,CCI,"",402962.0,52526000.0,0.3357,0.4647,59,-143081.0,-26.203248,reduction,0.0969661,Q3 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,122.7164
Six flags entertainment corp.,SIX,"",1054880.0,52406000.0,0.3349,0.135,60,643511.0,156.431574,addition,1.2519345,Q4 2016,COMMUNICATIONS,13F,06/30/2019,53.8368
Pnc financial services group  inc. (the) (provident national trust co.),PNC,"",380865.0,52285000.0,0.3341,,61,380865.0,,new,0.0839631,Q3 2016,FINANCE,13F,06/30/2019,137.28
Blackrock inc. class a,BLK,"",111072.0,52126000.0,0.3331,0.5578,62,-85235.0,-43.419236,reduction,0.0702854,Q3 2015,FINANCE,13F,06/30/2019,452.9207
Diamondback energy inc,FANG,"",468943.0,51101000.0,0.3266,0.0022,63,465705.0,14382.489191,addition,0.2847774,Q4 2018,ENERGY,13F,06/30/2019,108.8577
Udr inc.,UDR,"",1126306.0,50560000.0,0.3231,0.0578,64,935032.0,488.844276,addition,0.4005641,Q2 2016,REAL ESTATE,13F,06/30/2019,44.8974
Altice usa inc,ATUS,"",2064756.0,50277000.0,0.3213,0.1027,65,1345818.0,187.19528,addition,0.3058762,Q2 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,23.2742
Ss&c technologies holdings inc,SSNC,"",862919.0,49713000.0,0.3177,0.0916,66,646678.0,299.054296,addition,0.3410747,Q3 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,55.456
Wellcare health plans inc,WCG,"",169884.0,48429000.0,0.3095,0.0632,67,134651.0,382.172963,addition,0.3397680,Q2 2016,HEALTH CARE,13F,06/30/2019,269.3897
Lowes companies  inc.,LOW,"",472527.0,47683000.0,0.3047,0.5616,68,-299056.0,-38.75876,reduction,0.0593687,Q1 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,95.3486
Tempur sealy international inc,TPX,"",647311.0,47493000.0,0.3035,0.0978,69,392137.0,153.674356,addition,1.1829514,Q2 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,67.0545
Childrens place inc,PLCE,"",497064.0,47410000.0,0.303,0.0816,70,370870.0,293.888774,addition,3.1499620,Q4 2012,CONSUMER DISCRETIONARY,13F,06/30/2019,95.8624
Axis capital holdings ltd,AXS,"",789762.0,47109000.0,0.3011,0.2606,71,74410.0,10.401872,addition,0.9409770,Q3 2015,FINANCE,13F,06/30/2019,52.428
Alaska air group inc,ALK,"",734187.0,46922000.0,0.2999,0.0718,72,541678.0,281.378013,addition,0.5939544,Q4 2018,TRANSPORTS,13F,06/30/2019,61.9019
Worldpay inc class a,WP,"",378869.0,46430000.0,0.2967,0.1859,73,132486.0,53.772379,addition,0.2131351,Q4 2015,INDUSTRIALS,13F,06/30/2019,115.8928
Boeing company,BA,"",125956.0,45849000.0,0.293,0.2987,74,8172.0,6.938124,addition,0.0223136,Q1 2017,INDUSTRIALS,13F,06/30/2019,371.0147
Bunge ltd. adr,BG,"",808517.0,45042000.0,0.2879,0.0466,75,676487.0,512.373703,addition,0.5729287,Q3 2014,CONSUMER STAPLES,13F,06/30/2019,57.6487
Occidental petroleum corp.,OXY,"",864095.0,43447000.0,0.2777,0.0053,76,851962.0,7021.857743,addition,0.1155393,Q1 2017,ENERGY,13F,06/30/2019,50.6646
Cbs corp,CBS,"",867961.0,43311000.0,0.2768,0.0549,77,694137.0,399.333234,addition,0.2315736,Q3 2014,COMMUNICATIONS,13F,06/30/2019,49.6552
Evercore inc. class a,EVR,"",480004.0,42514000.0,0.2717,0.029,78,431989.0,899.695928,addition,1.1860736,Q4 2015,FINANCE,13F,06/30/2019,86.8685
Spdr s&p health care etf,XLV,PUT,450000.0,42179000.0,0.2696,,79,450000.0,,new,No Data,Q2 2019,HEALTH CARE,13F,06/30/2019,
Marathon petroleum corp,MPC,"",752920.0,42073000.0,0.2689,0.3341,80,-86748.0,-10.331226,reduction,0.1136277,Q2 2015,ENERGY,13F,06/30/2019,59.85
Philip morris international inc,PM,"",533970.0,41933000.0,0.268,0.2032,81,188193.0,54.426119,addition,0.0343212,Q3 2017,CONSUMER STAPLES,13F,06/30/2019,79.0733
Snap inc class a,SNAP,"",2884206.0,41244000.0,0.2636,0.2058,82,75131.0,2.674581,addition,0.2129760,Q4 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,8.0271
American electric power co. (american gas & electric),AEP,"",464174.0,40852000.0,0.2611,0.0053,83,454724.0,4811.89418,addition,0.0941052,Q2 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,87.6442
Coty inc.,COTY,"",2995806.0,40144000.0,0.2566,0.0528,84,2305444.0,333.947118,addition,0.3986966,Q4 2017,CONSUMER STAPLES,13F,06/30/2019,12.9509
Westlake chemical corp,WLK,"",576440.0,40040000.0,0.2559,0.0497,85,466210.0,422.942937,addition,0.4486962,Q3 2016,MATERIALS,13F,06/30/2019,69.6206
United rentals  inc.,URI,"",301834.0,40032000.0,0.2558,0.2594,86,-39705.0,-11.62532,reduction,0.3830867,Q3 2014,INDUSTRIALS,13F,06/30/2019,115.0352
Eqt corporation (equitable gas co.),EQT,"",2518505.0,39818000.0,0.2545,,87,2518505.0,,new,0.9885794,Q4 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,15.81
Melco resorts & entertainment limited ad adr,MLCO,"",1828069.0,39706000.0,0.2538,0.217,88,383160.0,26.517933,addition,0.3698074,Q3 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,22.8078
Duke realty corp.,DRE,"",1254422.0,39652000.0,0.2534,0.1752,89,392963.0,45.615984,addition,0.3491877,Q2 2016,REAL ESTATE,13F,06/30/2019,29.0777
Viavi solutions inc,VIAV,"",2952192.0,39235000.0,0.2507,0.0584,90,2242256.0,315.839174,addition,1.2948211,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,12.9983
Rpm international inc.,RPM,"",639428.0,39075000.0,0.2497,0.0021,91,633982.0,11641.241278,addition,0.4878151,Q3 2018,MATERIALS,13F,06/30/2019,61.1002
Williams-sonoma inc.,WSM,"",600961.0,39062000.0,0.2496,,92,600961.0,,new,0.7654579,Q2 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,65.0
Associated banc-corp,ASB,"",1840627.0,38911000.0,0.2487,0.0977,93,1152212.0,167.371716,addition,1.1172243,Q1 2017,FINANCE,13F,06/30/2019,21.2579
Olin corp. (mathieson chemical),OLN,"",1754345.0,38438000.0,0.2457,0.0609,94,1358351.0,343.023127,addition,1.0639487,Q2 2016,MATERIALS,13F,06/30/2019,23.3337
Invesco qqq trust series 1,QQQ,PUT,200000.0,37714000.0,0.241,,95,200000.0,,new,No Data,Q2 2019,FINANCE,13F,06/30/2019,
Skechers usa  inc. class a,SKX,"",1177303.0,37073000.0,0.2369,,96,1177303.0,,new,0.7477788,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,31.49
Carvana co,CVNA,"",591518.0,37023000.0,0.2366,0.1634,97,168212.0,39.737684,addition,0.3935320,Q2 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,57.4149
Iac/interactivecorp,IAC,"",169774.0,36931000.0,0.236,0.0138,98,159931.0,1624.819669,addition,0.2045716,Q1 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,214.6864
Americold realty trust,COLD,"",1138739.0,36918000.0,0.2359,0.1979,99,163008.0,16.706244,addition,0.5945486,Q1 2018,INDUSTRIALS,13F,06/30/2019,25.9596
Life storage inc,LSI,"",387896.0,36881000.0,0.2357,0.2089,100,64895.0,20.091269,addition,0.8318593,Q4 2017,REAL ESTATE,13F,06/30/2019,96.0116
Spdr s&p utilities etf,XLU,PUT,600000.0,36594000.0,0.2339,0.2321,101,0.0,0.0,,No Data,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Nxp semiconductors n.v.,NXPI,"",374305.0,36536000.0,0.2335,0.012,102,353904.0,1734.738493,addition,0.1138744,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,96.2839
Armour residential reit inc,ARR,"",1954322.0,36429000.0,0.2328,0.2786,103,-190982.0,-8.902328,reduction,3.2686436,Q2 2017,REAL ESTATE,13F,06/30/2019,19.53
Synovus financial corp. (columbus  ga),SNV,"",1037357.0,36307000.0,0.232,0.0809,104,683218.0,192.923683,addition,0.6518109,Q4 2016,FINANCE,13F,06/30/2019,35.5143
Monster beverage corp.,MNST,"",568254.0,36272000.0,0.2318,0.0237,105,503067.0,771.729026,addition,0.1046219,Q2 2015,CONSUMER STAPLES,13F,06/30/2019,62.8711
Spdr s&p consumer staples etf,XLP,"",623551.0,36210000.0,0.2314,,106,623551.0,,new,No Data,Q4 2017,CONSUMER STAPLES,13F,06/30/2019,58.07
Firstenergy corp.,FE,"",840132.0,35966000.0,0.2299,0.1006,107,476540.0,131.06449,addition,0.1580949,Q3 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,38.4471
First solar inc,FSLR,"",545684.0,35841000.0,0.2291,0.0172,108,496629.0,1012.392213,addition,0.5179725,Q1 2018,INDUSTRIALS,13F,06/30/2019,64.233
Kraft heinz co. (the),KHC,"",1154616.0,35839000.0,0.229,,109,1154616.0,,new,0.0946453,Q2 2019,CONSUMER STAPLES,13F,06/30/2019,31.04
Hcp inc.,HCP,"",1118549.0,35771000.0,0.2286,0.0953,110,660844.0,144.38208,addition,0.2341187,Q2 2016,REAL ESTATE,13F,06/30/2019,30.2532
Martin marietta materials inc.,MLM,"",155185.0,35710000.0,0.2282,0.3447,111,-102514.0,-39.780519,reduction,0.2485744,Q2 2016,MATERIALS,13F,06/30/2019,201.18
Healthcare trust of america inc,HTA,"",1300831.0,35682000.0,0.228,0.2737,112,-138758.0,-9.638723,reduction,0.6343529,Q2 2017,REAL ESTATE,13F,06/30/2019,28.072
Qts realty trust inc,QTS,"",766072.0,35377000.0,0.2261,0.2536,113,-81762.0,-9.643633,reduction,1.3863047,Q1 2018,REAL ESTATE,13F,06/30/2019,42.0818
Perspecta inc,PRSP,"",1510331.0,35357000.0,0.226,0.2105,114,-55205.0,-3.526268,reduction,0.9281208,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,21.935
Biomarin pharmaceutical inc,BMRN,"",407766.0,34925000.0,0.2232,0.0085,115,393462.0,2750.713087,addition,0.2286068,Q2 2015,HEALTH CARE,13F,06/30/2019,85.9306
Intel corp.,INTC,PUT,735000.0,34883000.0,0.2229,,116,735000.0,,new,N/A,Q1 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,
Pebblebrook hotel trust,PEB,"",1233644.0,34764000.0,0.2222,0.0477,117,1002453.0,433.603817,addition,0.9443803,Q3 2017,REAL ESTATE,13F,06/30/2019,29.7415
Conocophillips (phillips petroleum),COP,"",567692.0,34629000.0,0.2213,0.053,118,448266.0,375.350426,addition,0.0500434,Q2 2016,ENERGY,13F,06/30/2019,62.5965
Shake shack inc,SHAK,"",477982.0,34510000.0,0.2205,0.2085,119,-52202.0,-9.846016,reduction,1.2866272,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,51.0949
Amazon.com inc.,AMZN,CALL,20000.0,33740000.0,0.2156,,120,20000.0,,new,N/A,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,
Dentsply international inc. (1983),XRAY,"",576515.0,33645000.0,0.215,0.0074,121,553955.0,2455.474291,addition,0.2590497,Q4 2015,HEALTH CARE,13F,06/30/2019,57.5703
Merck & co,MRK,"",400379.0,33572000.0,0.2146,0.0196,122,364902.0,1028.559348,addition,0.0148498,Q3 2014,HEALTH CARE,13F,06/30/2019,82.8669
Rockwell automation  inc.,ROK,CALL,204700.0,33309000.0,0.2129,,123,204700.0,,new,N/A,Q2 2019,INDUSTRIALS,13F,06/30/2019,
Bank of new york mellon corp,BK,"",753813.0,33281000.0,0.2127,0.0021,124,747505.0,11850.11097,addition,0.0789465,Q3 2018,FINANCE,13F,06/30/2019,44.2026
Citizens financial group inc,CFG,"",933552.0,33010000.0,0.211,0.0129,125,874067.0,1469.390603,addition,0.2036722,Q3 2014,FINANCE,13F,06/30/2019,35.1587
Marvell technology group ltd,MRVL,"",1378457.0,32904000.0,0.2103,0.1083,126,559463.0,68.311001,addition,0.2091423,Q2 2017,INFORMATION TECHNOLOGY,13F,06/30/2019,21.5369
Paycom software inc,PAYC,"",144053.0,32660000.0,0.2087,,127,144053.0,,new,0.2462024,Q3 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,226.72
Trex company,TREX,"",455308.0,32646000.0,0.2086,0.005,128,443139.0,3641.539979,addition,0.7734126,Q1 2019,INDUSTRIALS,13F,06/30/2019,71.4279
Qualcomm inc.,QCOM,"",428901.0,32626000.0,0.2085,0.2484,129,-226306.0,-34.539619,reduction,0.0354373,Q3 2015,INFORMATION TECHNOLOGY,13F,06/30/2019,57.2285
Apple inc,AAPL,PUT,163700.0,32540000.0,0.208,,130,163700.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Keycorp  inc. (cleveland  ohio),KEY,"",1832049.0,32519000.0,0.2078,0.0529,131,1327135.0,262.843771,addition,0.1816086,Q1 2019,FINANCE,13F,06/30/2019,17.1988
Taiwan semiconductor manufacturing co ltd adr,TSM,"",830057.0,32513000.0,0.2078,,132,830057.0,,new,0.0160055,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,39.17
Carmax inc.,KMX,"",371907.0,32293000.0,0.2064,0.3201,133,-317818.0,-46.078945,reduction,0.2237842,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,69.6897
Hasbro inc.,HAS,"",305102.0,32243000.0,0.2061,,134,305102.0,,new,0.2421444,Q3 2015,CONSUMER DISCRETIONARY,13F,06/30/2019,105.68
Transunion,TRU,"",437076.0,32129000.0,0.2053,0.0516,135,320865.0,276.105532,addition,0.2333561,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,71.7366
Regeneron pharmaceuticals inc.,REGN,CALL,100000.0,32026000.0,0.2047,0.101,136,63000.0,170.27027,addition,N/A,Q2 2017,HEALTH CARE,13F,06/30/2019,
Juniper networks inc,JNPR,"",1201754.0,32003000.0,0.2045,,137,1201754.0,,new,0.3445988,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,26.63
Costar group inc,CSGP,"",57405.0,31806000.0,0.2033,0.1992,138,-6816.0,-10.613351,reduction,0.1574897,Q4 2016,INDUSTRIALS,13F,06/30/2019,337.7044
Nvent electric plc,NVT,"",1278029.0,31682000.0,0.2025,0.1148,139,637968.0,99.673,addition,0.7317239,Q2 2018,INDUSTRIALS,13F,06/30/2019,25.5774
Pentair plc,PNR,"",849412.0,31598000.0,0.2019,0.0062,140,828592.0,3979.788665,addition,0.4947935,Q3 2017,INDUSTRIALS,13F,06/30/2019,37.3792
Zayo group holdings inc,ZAYO,"",959125.0,31565000.0,0.2017,0.2489,141,-358253.0,-27.194397,reduction,0.4071162,Q4 2015,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,32.875
Best buy co.  inc.,BBY,"",451701.0,31497000.0,0.2013,0.1048,142,229946.0,103.693716,addition,0.1686710,Q1 2016,CONSUMER DISCRETIONARY,13F,06/30/2019,70.3829
Inphi corp,IPHI,"",622837.0,31204000.0,0.1994,0.0016,143,617255.0,11057.954138,addition,1.3764354,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,49.9391
Texas instruments  inc.,TXN,PUT,272200.0,30574000.0,0.1954,,144,272200.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Ipg photonics corp,IPGP,"",197244.0,30425000.0,0.1944,0.0912,145,106847.0,118.197507,addition,0.3724396,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,153.118
Papa johns international inc.,PZZA,"",679625.0,30393000.0,0.1942,0.0204,146,621693.0,1073.14265,addition,2.1385305,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,45.4215
Polaris industries inc.,PII,"",328414.0,29961000.0,0.1915,,147,328414.0,,new,0.5387369,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,91.23
American airlines group inc,AAL,"",908841.0,29637000.0,0.1894,,148,908841.0,,new,0.2023874,Q2 2015,TRANSPORTS,13F,06/30/2019,32.61
Hollyfrontier corp,HFC,"",639040.0,29575000.0,0.189,0.2042,149,15677.0,2.514907,addition,0.3742109,Q3 2016,ENERGY,13F,06/30/2019,49.1107
Spdr s&p 500 etf trust,SPY,PUT,100000.0,29400000.0,0.1879,0.2629,150,-40000.0,-28.571429,reduction,No Data,Q1 2009,FINANCE,13F,06/30/2019,
Tenaris sa ads adr,TS,"",1116831.0,29384000.0,0.1878,0.0224,151,997608.0,836.758008,addition,0.1892068,Q2 2018,ENERGY,13F,06/30/2019,27.3788
