Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Vistra energy cp,VST,"",1719100.0,38920000.0,0.4203,1.6873,15,-541870.0,-23.966262,reduction,0.3562016,Q4 2017,ENERGY,13F,06/30/2019,23.5475
Spdr s&p oil & gas exploration & production etf,XOP,"",1300000.0,35425000.0,0.3825,0.1763,16,1100000.0,550.0,addition,No Data,Q1 2019,ENERGY,13F,06/30/2019,27.7869
Micron technology  inc.,MU,"",900000.0,34731000.0,0.375,22.8092,17,-18350000.0,-95.324675,reduction,0.0813236,Q4 2016,INFORMATION TECHNOLOGY,13F,06/30/2019,40.4029
Caesars entertainment corp,CZR,PRN,20000000.0,34534000.0,0.3729,1.0139,18,-4408230.0,-18.060425,reduction,N/A,Q4 2017,CONSUMER DISCRETIONARY,13F,06/30/2019,
Adobe systems  inc.,ADBE,"",112000.0,33001000.0,0.3564,0.764,19,12000.0,12.0,addition,0.0229532,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,269.5071
Cheniere energy inc,LNG,"",410000.0,28065000.0,0.3031,1.1497,20,-176655.0,-30.112247,reduction,0.1592790,Q4 2017,ENERGY,13F,06/30/2019,56.4657
Humana  inc.,HUM,"",95391.0,25307000.0,0.2733,,21,95391.0,,new,0.0703266,Q2 2019,HEALTH CARE,13F,06/30/2019,265.3
Clearway energy inc,CWEN,"",700200.0,11805000.0,0.1275,0.3682,22,-149800.0,-17.623529,reduction,1.6383259,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,15.11
Intelsat s.a.,I,"",592000.0,11514000.0,0.1243,,23,592000.0,,new,0.4289233,Q2 2019,COMMUNICATIONS,13F,06/30/2019,19.45
Wmih corp,COOP,"",1290000.0,10333000.0,0.1116,0.7176,24,-1320000.0,-50.574713,reduction,0.5953755,Q3 2015,FINANCE,13F,06/30/2019,16.3759
Centene corp,CNC,"",127815.0,6703000.0,0.0724,,25,127815.0,,new,0.0309345,Q2 2019,HEALTH CARE,13F,06/30/2019,52.44
Qualcomm inc.,QCOM,CALL,75000.0,5705000.0,0.0616,,26,75000.0,,new,N/A,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,
Clearway energy inc,CWEN.A,"",210200.0,3401000.0,0.0367,0.1042,27,-39800.0,-15.92,reduction,0.4918253,Q1 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,
Alibaba group holding ltd adr,BABA,CALL,0.0,0.0,,1.5692,"",-300000.0,-100.0,soldall,N/A,Q1 2019,COMMUNICATIONS,13F,06/30/2019,
Spdr energy select sector fund,XLE,"",0.0,0.0,,0.1896,"",-100000.0,-100.0,soldall,No Data,Q1 2019,ENERGY,13F,06/30/2019,66.12
Alibaba group holding ltd adr,BABA,"",0.0,0.0,,3.6615,"",-700000.0,-100.0,soldall,0.0000000,Q2 2017,COMMUNICATIONS,13F,06/30/2019,182.45
