Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Synchrony financial,SYF,"",20803000.0,721240000.0,0.346601,0.3327,31,0.0,0.0,,3.0179017,Q2 2017,FINANCE,13F,06/30/2019,30.0175
Store capital corp,STOR,"",18621674.0,618053000.0,0.297013,0.3127,32,0.0,0.0,,8.2008517,Q2 2017,REAL ESTATE,13F,06/30/2019,22.45
Restaurant brands international inc,QSR,"",8438225.0,586794000.0,0.281991,0.2754,33,0.0,0.0,,3.2973409,Q4 2014,CONSUMER DISCRETIONARY,13F,06/30/2019,39.04
Torchmark corp. (liberty national life insurance),TMK,"",6353727.0,568405000.0,0.273154,0.261,34,0.0,0.0,,5.7598831,Q1 2001,FINANCE,13F,06/30/2019,19.2514
Liberty sirius xm group  series a,LSXMA,"",14860360.0,561871000.0,0.270014,0.2844,35,0.0,0.0,,4.5943299,Q2 2016,COMMUNICATIONS,13F,06/30/2019,34.7629
Liberty global plc class a,LBTYA,"",19791000.0,534159000.0,0.256697,0.2472,36,0.0,0.0,,2.6668913,Q4 2013,COMMUNICATIONS,13F,06/30/2019,38.687
Phillips 66,PSX,"",5552715.0,519401000.0,0.249605,0.2649,37,0.0,0.0,,1.2242785,Q2 2012,ENERGY,13F,06/30/2019,76.3963
Stoneco ltd,STNE,"",14166748.0,419052000.0,0.201381,0.292,38,0.0,0.0,,5.1130574,Q4 2018,FINANCE,13F,06/30/2019,18.44
Teva pharmaceutical industries ltd  adr,TEVA,"",43249295.0,399191000.0,0.191836,0.34,39,0.0,0.0,,4.2531366,Q4 2017,HEALTH CARE,13F,06/30/2019,18.3547
Suncor energy  inc.,SU,"",10758000.0,335219000.0,0.161094,0.1749,40,0.0,0.0,,0.6787425,Q4 2018,ENERGY,13F,06/30/2019,27.97
Liberty global plc class c,LBTYK,"",7346968.0,194915000.0,0.0936688,0.0892,41,0.0,0.0,,0.9900240,Q1 2014,COMMUNICATIONS,13F,06/30/2019,40.71
Liberty latin america ltd,LILA,"",2714854.0,46777000.0,0.0224793,0.0263,42,0.0,0.0,,1.4963644,Q3 2015,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,32.5324
Johnson & johnson co.,JNJ,"",327100.0,45558000.0,0.0218935,0.0229,43,0.0,0.0,,0.0121920,Q1 2006,HEALTH CARE,13F,06/30/2019,59.4414
Procter & gamble co. (oh) (1905),PG,"",315400.0,34584000.0,0.0166198,0.0165,44,0.0,0.0,,0.0125109,Q1 2005,CONSUMER STAPLES,13F,06/30/2019,58.0857
Mondelez international inc. (kraft foods),MDLZ,"",578000.0,31154000.0,0.0149714,0.0145,45,0.0,0.0,,0.0400230,Q2 2007,CONSUMER STAPLES,13F,06/30/2019,22.8361
Liberty global plc,LILAK,"",1284020.0,22072000.0,0.010607,0.0125,46,0.0,0.0,,0.7077220,Q3 2015,COMMUNICATIONS,13F,06/30/2019,32.9907
United parcel service  inc. class b,UPS,"",59400.0,6134000.0,0.00294777,0.0033,47,0.0,0.0,,0.0069051,Q1 2006,TRANSPORTS,13F,06/30/2019,79.38
Usg corp. (united states gypsum),USG,"",0.0,0.0,0.0,0.8466,48,-39002016.0,-100.0,soldall,0.0000000,Q1 2001,CONSUMER DISCRETIONARY,13F,06/30/2019,31.5133
