Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Las vegas sands corp,LVS,"",3900000.0,230451000.0,3.2846,1.7683,11,2293000.0,142.688239,addition,0.5046519,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,58.476
Iqvia holdings inc,IQV,"",1270000.0,204343000.0,2.9125,1.989,12,504000.0,65.796345,addition,0.6438856,Q1 2019,HEALTH CARE,13F,06/30/2019,150.6163
Fidelity national information services inc,FIS,"",1635800.0,200680000.0,2.8603,,13,1635800.0,,new,0.5065651,Q2 2019,FINANCE,13F,06/30/2019,122.68
Ferrari n.v.,RACE,"",1220000.0,196932000.0,2.8068,3.7404,14,-328700.0,-21.224253,reduction,0.6456735,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,99.44
Owens corning inc,OC,"",2740000.0,159468000.0,2.2729,1.7019,15,739000.0,36.931534,addition,2.5004563,Q4 2018,INDUSTRIALS,13F,06/30/2019,48.543
Worldpay inc class a,WP,"",1180000.0,144609000.0,2.0611,,16,1180000.0,,new,0.6638164,Q2 2019,INDUSTRIALS,13F,06/30/2019,122.55
Boeing company,BA,"",365000.0,132864000.0,1.8937,,17,365000.0,,new,0.0646613,Q4 2018,INDUSTRIALS,13F,06/30/2019,364.01
Twilio inc,TWLO,"",957800.0,130596000.0,1.8614,,18,957800.0,,new,0.7585333,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,136.35
Amazon.com inc.,AMZN,"",66500.0,125926000.0,1.7948,,19,66500.0,,new,0.0135383,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,1893.63
Bilibili inc,BILI,"",6725000.0,109416000.0,1.5595,1.9497,20,1025000.0,17.982456,addition,7.8779531,Q4 2018,COMMUNICATIONS,13F,06/30/2019,14.8461
Adobe systems  inc.,ADBE,"",354200.0,104365000.0,1.4875,1.8568,21,-31800.0,-8.238342,reduction,0.0725894,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,226.24
Wynn resorts ltd,WYNN,"",724400.0,89818000.0,1.2802,3.7756,22,-1028600.0,-58.676554,reduction,0.6729840,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2019,104.7082
Linde plc,LIN,"",375000.0,75300000.0,1.0732,,23,375000.0,,new,0.1303985,Q2 2019,MATERIALS,13F,06/30/2019,200.8
Chewy inc,CHWY,"",1959974.0,68599000.0,0.9777,,24,1959974.0,,new,No Data,Q2 2019, ,13F,06/30/2019,35.0
Snap inc class a,SNAP,"",3750000.0,53625000.0,0.7643,,25,3750000.0,,new,0.2769081,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2019,14.3
Churchill capital corp,CCC,"",2144546.0,32983000.0,0.4701,,26,2144546.0,,new,3.1080377,Q2 2019,FINANCE,13F,06/30/2019,15.38
Qutoutiao inc,QTT,"",7500000.0,29550000.0,0.4212,,27,7500000.0,,new,2.6475572,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2019,3.94
Replay acquisition corp,RPLA/U,"",2500000.0,25063000.0,0.3572,,28,2500000.0,,new,N/A,Q2 2019, ,13F,06/30/2019,
Applied materials inc.,AMAT,"",0.0,0.0,,1.5893,"",-2220000.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,32.74
Lam research corp.,LRCX,"",0.0,0.0,,1.1923,"",-369000.0,-100.0,soldall,0.0000000,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2019,151.7271
Lennar corp. class a,LEN,"",0.0,0.0,,4.0938,"",-4620000.0,-100.0,soldall,0.0000000,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2019,49.09
Altaba inc. (yahoo),AABA,"",0.0,0.0,,5.9671,"",-4460000.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,06/30/2019,74.12
Danaher corp.,DHR,"",0.0,0.0,,2.8597,"",-1200000.0,-100.0,soldall,0.0000000,Q4 2018,HEALTH CARE,13F,06/30/2019,116.3658
Iqiyi inc,IQ,"",0.0,0.0,,0.8851,"",-2050000.0,-100.0,soldall,0.0000000,Q4 2018,COMMUNICATIONS,13F,06/30/2019,22.1541
